time,vin,vh,vl
1.777343750000000000e-01,1.199337232846976908e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.787109375000000000e-01,1.200674423523011125e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.796875000000000000e-01,1.201994646561721725e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.806640625000000000e-01,1.203297852257457556e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.816406250000000000e-01,1.204583991545261190e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.826171875000000000e-01,1.205853016002714995e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.835937500000000000e-01,1.207104877851765234e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.845703125000000000e-01,1.208339529960521297e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.855468750000000000e-01,1.209556925845028941e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.865234375000000000e-01,1.210757019671020895e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.875000000000000000e-01,1.211939766255643480e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.884765625000000000e-01,1.213105121069155690e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.894531250000000000e-01,1.214253040236607850e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.904296875000000000e-01,1.215383480539491856e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.914062500000000000e-01,1.216496399417369423e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.923828125000000000e-01,1.217591754969473694e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.933593750000000000e-01,1.218669505956287535e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.943359375000000000e-01,1.219729611801094959e+00,1.312500000000000000e+00,1.125000000000000000e+00
1.953125000000000000e-01,1.220772032591510348e+00,1.312500000000000000e+00,1.125000000000000000e+00
1.962890625000000000e-01,1.221796729080980137e+00,1.312500000000000000e+00,1.125000000000000000e+00
1.972656250000000000e-01,1.222803662690260751e+00,1.312500000000000000e+00,1.125000000000000000e+00
1.982421875000000000e-01,1.223792795508870546e+00,1.312500000000000000e+00,1.125000000000000000e+00
1.992187500000000000e-01,1.224764090296518226e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.001953125000000000e-01,1.225717510484504169e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.011718750000000000e-01,1.226653020177096876e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.021484375000000000e-01,1.227570584152885225e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.031250000000000000e-01,1.228470167866104523e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.041015625000000000e-01,1.229351737447935911e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.050781250000000000e-01,1.230215259707782893e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.060546875000000000e-01,1.231060702134520790e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.070312500000000000e-01,1.231888032897719976e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.080078125000000000e-01,1.232697220848844699e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.089843750000000000e-01,1.233488235522425924e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.099609375000000000e-01,1.234261047137208633e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.109375000000000000e-01,1.235015626597272043e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.119140625000000000e-01,1.235751945493125836e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.128906250000000000e-01,1.236469976102779977e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.138671875000000000e-01,1.237169691392787874e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.148437500000000000e-01,1.237851065019264230e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.158203125000000000e-01,1.238514071328877142e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.167968750000000000e-01,1.239158685359813772e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.177734375000000000e-01,1.239784882842720259e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.187500000000000000e-01,1.240392640201615215e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.197265625000000000e-01,1.240981934554777677e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.207031250000000000e-01,1.241552743715608198e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.216796875000000000e-01,1.242105046193464624e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.226562500000000000e-01,1.242638821194470555e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.236328125000000000e-01,1.243154048622299390e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.246093750000000000e-01,1.243650709078929273e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.255859375000000000e-01,1.244128783865374732e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.265625000000000000e-01,1.244588254982390563e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.275390625000000000e-01,1.245029105131148617e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.285156250000000000e-01,1.245451317713889949e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.294921875000000000e-01,1.245854876834549874e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.304687500000000000e-01,1.246239767299355039e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.314453125000000000e-01,1.246605974617397194e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.324218750000000000e-01,1.246953485001178086e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.333984375000000000e-01,1.247282285367127708e+00,1.312500000000000000e+00,1.125000000000000000e+00
2.343750000000000000e-01,1.247592363336098353e+00,1.312500000000000000e+00,1.125000000000000000e+00
