Vinp,Vout,dVout
7.512480000000000473e+02,1.497935650000000063e+00,5.498011280000000056e+01
7.512520000000000664e+02,1.498144249999999955e+00,4.943126500000000334e+01
7.512560000000000855e+02,1.498331800000000102e+00,4.444118240000000242e+01
7.512599999999999909e+02,1.498500409999999894e+00,3.995383770000000112e+01
7.512640000000000100e+02,1.498651989999999934e+00,3.591880189999999828e+01
7.512680000000000291e+02,1.498788269999999923e+00,3.229056640000000300e+01
7.512720000000000482e+02,1.498910780000000109e+00,2.902831469999999925e+01
7.512760000000000673e+02,1.499020910000000040e+00,2.609523000000000081e+01
7.512799999999999727e+02,1.499119910000000111e+00,2.345816230000000147e+01
7.512839999999999918e+02,1.499208899999999955e+00,2.108728770000000097e+01
7.512880000000000109e+02,1.499288900000000035e+00,1.895579169999999891e+01
7.512919999999999163e+02,1.499360819999999928e+00,1.703958799999999840e+01
7.512959999999999354e+02,1.499425460000000099e+00,1.531691829999999932e+01
7.512999999999999545e+02,1.499483569999999988e+00,1.376830759999999998e+01
7.513039999999999736e+02,1.499535810000000025e+00,1.237616230000000073e+01
7.513079999999999927e+02,1.499582760000000015e+00,1.112471000000000032e+01
7.513120000000000118e+02,1.499624960000000007e+00,9.999723870000000403e+00
7.513160000000000309e+02,1.499662899999999910e+00,8.988464090000000795e+00
7.513199999999999363e+02,1.499697000000000058e+00,8.079424460000000252e+00
7.513239999999999554e+02,1.499727650000000079e+00,7.262286269999999710e+00
7.513279999999999745e+02,1.499755200000000066e+00,6.527764969999999778e+00
7.513319999999999936e+02,1.499779959999999912e+00,5.867517069999999890e+00
7.513360000000000127e+02,1.499802220000000075e+00,5.274028140000000420e+00
7.513400000000000318e+02,1.499822229999999923e+00,4.740555330000000289e+00
7.513440000000000509e+02,1.499840209999999896e+00,4.261032300000000106e+00
7.513480000000000700e+02,1.499856379999999989e+00,3.830005330000000097e+00
7.513519999999999754e+02,1.499870910000000057e+00,3.442574169999999878e+00
7.513559999999999945e+02,1.499883969999999955e+00,3.094325959999999931e+00
7.513600000000000136e+02,1.499895710000000104e+00,2.781301369999999995e+00
7.513640000000000327e+02,1.499906259999999936e+00,2.499938660000000201e+00
7.513680000000000518e+02,1.499915740000000053e+00,2.247036039999999790e+00
7.513720000000000709e+02,1.499924269999999948e+00,2.019715349999999798e+00
7.513760000000000900e+02,1.499931930000000024e+00,1.815390749999999942e+00
7.513799999999999955e+02,1.499938809999999956e+00,1.631733759999999922e+00
7.513840000000000146e+02,1.499945000000000084e+00,1.466655370000000014e+00
7.513879999999999200e+02,1.499950569999999983e+00,1.318276449999999933e+00
7.513919999999999391e+02,1.499955570000000016e+00,1.184907869999999974e+00
7.513959999999999582e+02,1.499960060000000039e+00,1.065032109999999976e+00
7.513999999999999773e+02,1.499964110000000073e+00,9.572827539999999580e-01
7.514039999999999964e+02,1.499967739999999994e+00,8.604339380000000093e-01
7.514080000000000155e+02,1.499970999999999943e+00,7.733829899999999924e-01
7.514119999999999209e+02,1.499973929999999900e+00,6.951387660000000190e-01
7.514159999999999400e+02,1.499976570000000065e+00,6.248108340000000371e-01
7.514199999999999591e+02,1.499978940000000094e+00,5.615974390000000316e-01
7.514239999999999782e+02,1.499981070000000027e+00,5.047793109999999528e-01
7.514279999999999973e+02,1.499982989999999905e+00,4.537094760000000004e-01
7.514320000000000164e+02,1.499984710000000110e+00,4.078064029999999840e-01
7.514360000000000355e+02,1.499986260000000016e+00,3.665473899999999730e-01
7.514399999999999409e+02,1.499987650000000006e+00,3.294626070000000184e-01
7.514439999999999600e+02,1.499988899999999958e+00,2.961297560000000217e-01
7.514479999999999791e+02,1.499990020000000035e+00,2.661694549999999992e-01
7.514519999999999982e+02,1.499991029999999892e+00,2.392401110000000053e-01
7.514560000000000173e+02,1.499991939999999913e+00,2.150352779999999964e-01
7.514600000000000364e+02,1.499992750000000097e+00,1.932794599999999863e-01
7.514640000000000555e+02,1.499993490000000040e+00,1.737246010000000063e-01
7.514680000000000746e+02,1.499994150000000026e+00,1.561481700000000028e-01
7.514719999999999800e+02,1.499994739999999993e+00,1.403500059999999994e-01
7.514759999999999991e+02,1.499995270000000103e+00,1.261502919999999972e-01
7.514800000000000182e+02,1.499995750000000072e+00,1.133870379999999956e-01
7.514840000000000373e+02,1.499996179999999901e+00,1.019152509999999984e-01
7.514880000000000564e+02,1.499996569999999974e+00,9.160403309999999577e-02
7.514920000000000755e+02,1.499996909999999906e+00,8.233604290000000325e-02
7.514960000000000946e+02,1.499997229999999959e+00,7.400573330000000116e-02
7.515000000000000000e+02,1.499997510000000034e+00,6.651828529999999351e-02
7.515039999999999054e+02,1.499997760000000069e+00,5.978832490000000194e-02
7.515079999999999245e+02,1.499997990000000003e+00,5.373926369999999786e-02
7.515119999999999436e+02,1.499998189999999898e+00,4.830221249999999689e-02
7.515159999999999627e+02,1.499998369999999914e+00,4.341525200000000140e-02
7.515199999999999818e+02,1.499998539999999991e+00,3.902275580000000299e-02
7.515240000000000009e+02,1.499998680000000029e+00,3.507463970000000014e-02
7.515280000000000200e+02,1.499998820000000066e+00,3.152597249999999907e-02
7.515319999999999254e+02,1.499998940000000003e+00,2.833634009999999939e-02
7.515359999999999445e+02,1.499999050000000000e+00,2.546941730000000167e-02
7.515399999999999636e+02,1.499999139999999898e+00,2.289255490000000060e-02
7.515439999999999827e+02,1.499999230000000017e+00,2.057642070000000045e-02
