time,vin,vout_buf,vout_st
8.699999999999999400e-02,6.732999990000000379e-01,-6.805426450000000172e-08,4.557861429999999872e-10
8.719053499999999957e-02,5.559147530000000392e-01,-3.720711810000000067e-09,2.331921449999999995e-09
8.795267489999999966e-02,8.637373130000000621e-02,-1.545136340000000055e-08,2.288676229999999957e-09
8.805745989999999579e-02,8.007455559999999972e-02,1.533028980000000036e-09,2.729465449999999878e-09
8.838695689999999383e-02,2.111452669999999976e-01,1.531710609999999902e-09,2.719765810000000161e-09
8.899999999999999578e-02,4.550078659999999831e-01,7.143583120000000101e-10,2.586139719999999916e-09
8.925749269999999624e-02,4.256799800000000134e-01,1.350849759999999906e-09,1.550692229999999954e-09
9.000000000000001055e-02,3.411099200000000109e-01,1.243320779999999963e-09,1.576054039999999955e-09
9.020599409999999208e-02,4.056470609999999755e-01,7.765177700000000156e-10,4.389667890000000114e-10
9.099999999999999756e-02,6.544059199999999743e-01,-4.103941109999999812e-08,4.671758380000000234e-10
9.116479530000000386e-02,6.747458389999999584e-01,-2.679779310000000136e-08,1.362835019999999964e-09
9.182397659999999573e-02,7.561055079999999817e-01,-4.819699809999999912e-08,1.329749350000000086e-09
9.208789079999998850e-02,7.180150370000000226e-01,2.584883750000000152e-07,4.427240939999999954e-10
9.261523589999999528e-02,3.591176999999999842e-01,1.825842760000000109e-08,4.654823240000000020e-10
9.307031269999999079e-02,1.258976049999999958e-01,1.471249359999999901e-09,2.524915070000000169e-09
9.349218869999999237e-02,2.977399159999999934e-01,1.462143790000000007e-09,2.507718370000000081e-09
9.405625010000000230e-02,5.257895769999999525e-01,-4.301861320000000370e-09,1.225748829999999990e-09
9.439375099999999796e-02,6.530101569999999800e-01,-6.207260369999999712e-08,1.219986480000000080e-09
9.500000000000000111e-02,8.815350920000000201e-01,-2.649216180000000120e-07,1.257898369999999945e-09
9.527000060000000159e-02,7.994088070000000545e-01,1.424049260000000065e-07,1.679199460000000026e-09
9.600000000000000200e-02,5.773643920000000040e-01,5.994921890000000162e-09,1.666535919999999936e-09
9.621600049999999571e-02,5.509957629999999718e-01,4.782872220000000012e-09,8.914976029999999644e-10
9.700000000000000289e-02,4.552877089999999849e-01,7.938266559999999699e-10,8.840780519999999988e-10
