frequency,Tian_dB_20dB,Tian_dB_34dB,Tian_dB_40dB,Tian_arg_20dB,Tian_arg_34dB,Tian_arg_40dB
4.712673219999999787e+02,3.757154169999999738e+01,2.524932450000000017e+01,1.946032539999999855e+01,-8.173605030000000227e+01,-8.202314509999999359e+01,-8.206776720000000580e+01
4.932525130000000217e+02,3.718322030000000211e+01,2.486101010000000144e+01,1.907201369999999940e+01,-8.212487529999999936e+01,-8.239986629999999934e+01,-8.244260669999999891e+01
5.162633399999999710e+02,3.679423990000000089e+01,2.447203629999999919e+01,1.868304240000000149e+01,-8.249812550000000044e+01,-8.276158850000000200e+01,-8.280253650000000221e+01
5.403476500000000442e+02,3.640465640000000036e+01,2.408245870000000011e+01,1.829346710000000087e+01,-8.285647710000000643e+01,-8.310896270000000641e+01,-8.314820419999999501e+01
5.655555229999999938e+02,3.601452069999999850e+01,2.369232859999999974e+01,1.790333910000000017e+01,-8.320058720000000108e+01,-8.344262319999999988e+01,-8.348023999999999489e+01
5.919393720000000485e+02,3.562387989999999860e+01,2.330169289999999904e+01,1.751270530000000036e+01,-8.353109460000000297e+01,-8.376318659999999738e+01,-8.379925710000000549e+01
6.195540610000000470e+02,3.523277709999999985e+01,2.291059489999999954e+01,1.712160899999999941e+01,-8.384861879999999701e+01,-8.407125159999999653e+01,-8.410585140000000592e+01
6.484570079999999734e+02,3.484125180000000199e+01,2.251907399999999981e+01,1.673008970000000062e+01,-8.415376129999999932e+01,-8.436739959999999883e+01,-8.440060090000000059e+01
6.787083129999999755e+02,3.444934039999999698e+01,2.212716659999999891e+01,1.633818379999999948e+01,-8.444710510000000170e+01,-8.465219460000000140e+01,-8.468406659999999420e+01
7.103708769999999504e+02,3.405707619999999736e+01,2.173490609999999990e+01,1.594592470000000084e+01,-8.472921490000000233e+01,-8.492618360000000166e+01,-8.495679280000000233e+01
7.435105389999999943e+02,3.366448969999999719e+01,2.134232310000000155e+01,1.555334290000000053e+01,-8.500063799999999503e+01,-8.518989650000000324e+01,-8.521930670000000418e+01
7.781962059999999610e+02,3.327160880000000276e+01,2.094944539999999833e+01,1.516046629999999951e+01,-8.526190400000000125e+01,-8.544384709999999927e+01,-8.547211959999999920e+01
8.145000009999999975e+02,3.287845930000000294e+01,2.055629890000000159e+01,1.476732089999999964e+01,-8.551352640000000349e+01,-8.568853330000000312e+01,-8.571572700000000111e+01
8.524974120000000539e+02,3.248506470000000235e+01,2.016290710000000175e+01,1.437392999999999965e+01,-8.575600199999999518e+01,-8.592443719999999985e+01,-8.595060909999999410e+01
8.922674490000000560e+02,3.209144659999999760e+01,1.976929150000000135e+01,1.398031540000000028e+01,-8.598981179999999824e+01,-8.615202650000000517e+01,-8.617723080000000380e+01
9.338928049999999530e+02,3.169762479999999982e+01,1.937547209999999964e+01,1.358649680000000082e+01,-8.621542209999999784e+01,-8.637175419999999804e+01,-8.639604350000000466e+01
9.774600359999999455e+02,3.130361740000000026e+01,1.898146690000000092e+01,1.319249240000000079e+01,-8.643328449999999918e+01,-8.658405960000000334e+01,-8.660748449999999821e+01
1.023059729999999945e+03,3.090944109999999867e+01,1.858729280000000017e+01,1.279831889999999994e+01,-8.664383669999999427e+01,-8.678936889999999948e+01,-8.681197810000000459e+01
1.070786700000000110e+03,3.051511119999999977e+01,1.819296479999999860e+01,1.240399159999999945e+01,-8.684750320000000556e+01,-8.698809550000000002e+01,-8.700993610000000444e+01
1.120740199999999959e+03,3.012064170000000018e+01,1.779849730000000108e+01,1.200952460000000066e+01,-8.704469589999999357e+01,-8.718064110000000255e+01,-8.720175860000000512e+01
1.173024089999999887e+03,2.972604559999999907e+01,1.740390299999999968e+01,1.161493079999999978e+01,-8.723581470000000593e+01,-8.736739579999999705e+01,-8.738783429999999441e+01
1.227747080000000096e+03,2.933133480000000048e+01,1.700919379999999848e+01,1.122022220000000026e+01,-8.742124839999999608e+01,-8.754873929999999405e+01,-8.756854130000000680e+01
1.285022969999999987e+03,2.893652009999999919e+01,1.661438090000000045e+01,1.082540979999999919e+01,-8.760137480000000210e+01,-8.772504100000000449e+01,-8.774424759999999424e+01
1.344970849999999928e+03,2.854161179999999831e+01,1.621947420000000051e+01,1.043050350000000037e+01,-8.777656190000000436e+01,-8.789666080000000647e+01,-8.791531200000000013e+01
