time,Vind,Vinp,Vinn,Voutp,Voutn,Vout
2.011410399999999932e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.011514849999999965e+00,1.823408940000000034e-01,8.291739540000000463e-01
2.011535400000000084e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.032724839999999977e+00,1.659965489999999932e-01,8.667282920000000113e-01
2.011660399999999793e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.053691369999999905e+00,1.509156379999999908e-01,9.027757280000000550e-01
2.011785399999999946e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.074337040000000076e+00,1.370770430000000095e-01,9.372599950000000124e-01
2.011910400000000099e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.094581990000000005e+00,1.244427879999999986e-01,9.701391980000000359e-01
2.012035399999999807e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.114356399999999914e+00,1.129616060000000061e-01,1.001394789999999979e+00
2.012160399999999960e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.133605430000000025e+00,1.025722119999999959e-01,1.031033220000000084e+00
2.012285400000000113e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.152288559999999906e+00,9.320625350000000253e-02,1.059082309999999971e+00
2.012410400000000266e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.170377250000000036e+00,8.479100400000000315e-02,1.085586249999999975e+00
2.012535399999999974e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.187852509999999917e+00,7.725173230000000058e-02,1.110600779999999954e+00
2.012660400000000127e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.204702839999999942e+00,7.051371350000000537e-02,1.134189120000000051e+00
2.012785400000000280e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.220922510000000072e+00,6.450384130000000327e-02,1.156418670000000093e+00
2.012910399999999989e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.236510180000000014e+00,5.915186620000000006e-02,1.177358310000000019e+00
2.013035400000000141e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.251467799999999908e+00,5.439128890000000105e-02,1.197076510000000038e+00
2.013160400000000294e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.265799810000000081e+00,5.015995069999999723e-02,1.215639850000000077e+00
2.013285400000000003e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.279512489999999891e+00,4.640038099999999749e-02,1.233112109999999984e+00
2.013410399999999711e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.292613589999999979e+00,4.305994109999999875e-02,1.249553649999999960e+00
2.013535399999999864e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.305131899999999900e+00,4.008962719999999841e-02,1.265042269999999913e+00
2.013660400000000017e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.317055499999999935e+00,3.744718030000000059e-02,1.279608319999999910e+00
2.013785399999999726e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.328375939999999922e+00,3.509492820000000013e-02,1.293281010000000064e+00
2.013910399999999878e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.339122939999999984e+00,3.299842640000000271e-02,1.306124510000000072e+00
2.014035400000000031e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.349310769999999993e+00,3.112713560000000129e-02,1.318183639999999990e+00
2.014160399999999740e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.358952240000000034e+00,2.945404269999999866e-02,1.329498199999999963e+00
2.014285399999999893e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.368060739999999997e+00,2.795536870000000021e-02,1.340105370000000073e+00
2.014410400000000045e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.376650630000000097e+00,2.661023790000000000e-02,1.350040389999999979e+00
2.014535400000000198e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.384737359999999917e+00,2.540036349999999846e-02,1.359337000000000018e+00
2.014660399999999907e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.392337399999999947e+00,2.430975150000000071e-02,1.368027649999999928e+00
2.014785400000000060e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.399468209999999990e+00,2.332441730000000060e-02,1.376143799999999917e+00
2.014910400000000212e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.406148100000000012e+00,2.243213599999999835e-02,1.383715959999999967e+00
2.015035399999999921e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.412396130000000083e+00,2.162220990000000148e-02,1.390773919999999997e+00
2.015160400000000074e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.418231969999999897e+00,2.088527139999999879e-02,1.397346699999999942e+00
2.015285400000000227e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.423675730000000028e+00,2.021311500000000025e-02,1.403462610000000055e+00
2.015410400000000379e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.428747779999999912e+00,1.959854810000000169e-02,1.409149229999999919e+00
2.015535399999999644e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.433468519999999913e+00,1.903526499999999913e-02,1.414433260000000026e+00
2.015660399999999797e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.437858220000000076e+00,1.851774000000000128e-02,1.419340480000000015e+00
2.015785399999999949e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.441936810000000069e+00,1.804113049999999871e-02,1.423895679999999997e+00
2.015910399999999658e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.445723719999999934e+00,1.760119450000000030e-02,1.428122520000000062e+00
2.016035399999999811e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.449237759999999930e+00,1.719421520000000148e-02,1.432043549999999943e+00
2.016160399999999964e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.452497039999999906e+00,1.681693819999999923e-02,1.435680099999999904e+00
2.016285400000000116e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.455518819999999991e+00,1.646650989999999884e-02,1.439052309999999890e+00
2.016410399999999825e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.458319549999999909e+00,1.614042809999999967e-02,1.442179120000000037e+00
2.016535399999999978e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.460914779999999968e+00,1.583649629999999905e-02,1.445078279999999937e+00
2.016660400000000131e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.463319199999999931e+00,1.555278080000000070e-02,1.447766419999999998e+00
2.016785399999999839e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.465546599999999922e+00,1.528757499999999943e-02,1.450259020000000065e+00
2.016910399999999992e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.467609919999999901e+00,1.503937059999999916e-02,1.452570549999999905e+00
2.017035400000000145e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.469521260000000051e+00,1.480682720000000077e-02,1.454714429999999892e+00
2.017160400000000298e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.471294019999999980e+00,1.458860439999999994e-02,1.456705420000000029e+00
2.017285400000000006e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.472936840000000025e+00,1.438380640000000085e-02,1.458553030000000028e+00
2.017410400000000159e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.474457190000000084e+00,1.419163000000000022e-02,1.460265549999999912e+00
2.017535400000000312e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.475865600000000111e+00,1.401103799999999996e-02,1.461854559999999914e+00
2.017660400000000021e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.477172479999999899e+00,1.384108029999999920e-02,1.463331399999999949e+00
2.017785399999999729e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.478384539999999969e+00,1.368116479999999940e-02,1.464703370000000060e+00
2.017910399999999882e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.479508700000000010e+00,1.353066430000000007e-02,1.465978030000000043e+00
2.018035400000000035e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.480551579999999978e+00,1.338896269999999972e-02,1.467162620000000084e+00
