time,Voutp,Voutn,Vout
2.449973370000000095e-01,7.453725270000000069e-01,7.283606270000000382e-01,1.701189969999999940e-02
2.459942940000000022e-01,7.497083810000000348e-01,7.240382909999999450e-01,2.567009049999999931e-02
2.469893710000000131e-01,7.516956350000000286e-01,7.220370000000000399e-01,2.965863440000000156e-02
2.479863280000000059e-01,7.493360009999999738e-01,7.243880679999999961e-01,2.494793309999999986e-02
2.489814059999999885e-01,7.449883760000000077e-01,7.287263729999999828e-01,1.626200300000000057e-02
2.499783620000000095e-01,7.420177279999999875e-01,7.316901940000000160e-01,1.032753380000000012e-02
2.509734399999999921e-01,7.398632889999999795e-01,7.338448819999999762e-01,6.018406750000000055e-03
2.519703959999999854e-01,7.402939490000000067e-01,7.334107229999999866e-01,6.883226269999999890e-03
2.529654740000000235e-01,7.426718119999999868e-01,7.310409429999999986e-01,1.163086810000000040e-02
2.539624309999999885e-01,7.459886770000000444e-01,7.277302119999999874e-01,1.825846520000000070e-02
2.549575079999999994e-01,7.487234210000000001e-01,7.250007219999999863e-01,2.372269899999999987e-02
2.559544650000000199e-01,7.484485680000000363e-01,7.252777839999999809e-01,2.317078460000000090e-02
2.569495430000000025e-01,7.462141119999999850e-01,7.275004139999999841e-01,1.871369809999999870e-02
2.579464989999999958e-01,7.433227239999999902e-01,7.303881250000000547e-01,1.293459899999999975e-02
2.589415769999999783e-01,7.400254290000000124e-01,7.336831339999999591e-01,6.342294969999999650e-03
2.599385330000000272e-01,7.389287249999999529e-01,7.347806380000000415e-01,4.148086659999999579e-03
2.609336110000000097e-01,7.406713759999999924e-01,7.330512340000000515e-01,7.620141789999999860e-03
2.619305670000000030e-01,7.400553420000000049e-01,7.336522770000000193e-01,6.403065270000000107e-03
2.629256449999999856e-01,7.388434189999999457e-01,7.348794589999999571e-01,3.963960300000000415e-03
2.639226020000000061e-01,7.368293409999999710e-01,7.368774489999999622e-01,-4.810825010000000304e-05
2.649146359999999811e-01,7.389959360000000199e-01,7.347107210000000110e-01,4.285215569999999662e-03
2.659097140000000192e-01,7.423053680000000210e-01,7.314094730000000322e-01,1.089589529999999973e-02
2.669066700000000125e-01,7.418374739999999967e-01,7.318709920000000535e-01,9.966481469999999981e-03
2.679017479999999951e-01,7.397686460000000297e-01,7.339403190000000077e-01,5.828327200000000402e-03
2.688987039999999884e-01,7.380458979999999780e-01,7.356618689999999683e-01,2.384029030000000063e-03
2.698937820000000265e-01,7.379122900000000262e-01,7.357933949999999612e-01,2.118894730000000191e-03
2.708907389999999915e-01,7.395308830000000277e-01,7.341764929999999856e-01,5.354389969999999790e-03
2.718858160000000024e-01,7.415409170000000216e-01,7.321715199999999646e-01,9.369397189999999903e-03
2.728827730000000229e-01,7.414159590000000133e-01,7.322917009999999616e-01,9.124258550000000079e-03
2.738778499999999783e-01,7.418335329999999894e-01,7.318964110000000245e-01,9.937122370000000746e-03
2.748748069999999988e-01,7.420520029999999601e-01,7.316788699999999812e-01,1.037313330000000020e-02
2.758698849999999814e-01,7.410060750000000418e-01,7.327034730000000495e-01,8.302601729999999416e-03
2.768668409999999747e-01,7.401172889999999560e-01,7.335901070000000468e-01,6.527182270000000085e-03
2.778619190000000128e-01,7.399623789999999479e-01,7.337462460000000464e-01,6.216133109999999982e-03
2.788588750000000061e-01,7.402643060000000386e-01,7.334464569999999961e-01,6.817849229999999906e-03
2.798539529999999886e-01,7.401556550000000234e-01,7.335520760000000529e-01,6.603579210000000074e-03
2.808509100000000092e-01,7.411905460000000057e-01,7.325208170000000463e-01,8.669729450000000087e-03
2.818459870000000200e-01,7.407466459999999531e-01,7.329641919999999589e-01,7.782454319999999870e-03
2.828429439999999850e-01,7.378132549999999457e-01,7.358932510000000260e-01,1.920003640000000032e-03
2.838380220000000231e-01,7.361407410000000429e-01,7.375661390000000095e-01,-1.425398440000000006e-03
2.848349780000000164e-01,7.379700359999999959e-01,7.357383220000000001e-01,2.231713910000000019e-03
