time,vphi1,vphi2,Vcm
7.199204770000000586e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.398989969999999472e-01
7.200000029999999995e-01,0.000000000000000000e+00,4.499999980000000122e-01,7.399002489999999543e-01
7.200000119999999670e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.399018960000000034e-01
7.200000509999999743e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.398995590000000400e-01
7.200003310000000489e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.398994370000000487e-01
7.200048089999999679e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.398994450000000445e-01
7.200764579999999748e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.398996639999999569e-01
7.211114420000001024e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.399028279999999569e-01
7.231114419999999932e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.399089410000000422e-01
7.251114419999999949e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.399150549999999882e-01
7.271114419999999967e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.399211679999999625e-01
7.291114419999999985e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.399272820000000195e-01
7.311114420000000003e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.399333949999999938e-01
7.331114420000000020e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.399395090000000508e-01
7.351114420000000038e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.399456220000000251e-01
7.358750130000000222e-01,0.000000000000000000e+00,1.050000000000000044e+00,7.399467720000000304e-01
7.358750219999999898e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.399482370000000087e-01
7.358750700000000755e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.399478459999999647e-01
7.358753839999999657e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.399481340000000351e-01
7.358802439999999612e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.399506430000000190e-01
7.359579960000000032e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.399684100000000209e-01
7.360000070000000116e-01,1.050000000000000044e+00,0.000000000000000000e+00,7.401084690000000466e-01
7.360000160000000902e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.401099420000000206e-01
7.360000770000000303e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.400966270000000069e-01
7.360007000000000632e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.405481229999999471e-01
7.360106659999999801e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.419427969999999872e-01
7.361701179999999844e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.419362720000000078e-01
7.376803639999999218e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.419373510000000227e-01
7.396803640000000346e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.419389280000000531e-01
7.416803640000000364e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.419405129999999682e-01
7.436803640000000382e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.419421050000000184e-01
7.456803640000000399e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.419437020000000382e-01
7.476803639999999307e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.419453059999999711e-01
7.496803640000000435e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.419469140000000129e-01
7.516803639999999342e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.419485279999999960e-01
