t,ecg_signal_offset
3.245356793743890411e-01,6.751298701298703575e-01
3.255131964809384049e-01,6.824675324675325561e-01
3.264907135874877686e-01,6.833766233766234155e-01
3.274682306940371324e-01,6.776623376623378547e-01
3.284457478005864961e-01,6.750649350649352565e-01
3.294232649071358598e-01,6.755194805194806307e-01
3.304007820136852236e-01,6.768181818181818743e-01
3.313782991202345873e-01,6.770129870129871774e-01
3.323558162267839511e-01,6.784415584415585121e-01
3.333333333333333148e-01,6.761688311688311970e-01
3.343108504398826786e-01,6.707792207792209194e-01
3.352883675464320423e-01,6.671428571428573706e-01
3.362658846529814061e-01,6.662337662337664002e-01
3.372434017595307698e-01,6.698051948051949589e-01
3.382209188660801336e-01,6.714935064935066977e-01
3.391984359726294973e-01,6.700000000000002620e-01
3.401759530791788610e-01,6.629870129870131246e-01
3.411534701857282248e-01,6.545454545454546524e-01
3.421309872922775885e-01,6.496753246753247391e-01
3.431085043988269523e-01,6.568181818181820786e-01
3.440860215053763715e-01,6.659090909090911170e-01
3.450635386119257353e-01,6.683116883116884122e-01
3.460410557184750990e-01,6.661688311688312991e-01
3.470185728250244628e-01,6.590259740259740706e-01
3.479960899315738265e-01,6.535714285714286920e-01
3.489736070381231903e-01,6.510389610389610837e-01
3.499511241446725540e-01,6.492207792207793648e-01
3.509286412512219178e-01,6.500000000000002442e-01
3.519061583577712815e-01,6.547402597402598445e-01
3.528836754643206453e-01,6.561688311688311792e-01
3.538611925708700090e-01,6.529870129870131157e-01
3.548387096774193727e-01,6.478571428571430202e-01
3.558162267839687365e-01,6.452597402597405329e-01
3.567937438905181002e-01,6.460389610389610793e-01
3.577712609970674640e-01,6.461038961038962913e-01
3.587487781036168277e-01,6.406493506493506906e-01
3.597262952101661915e-01,6.306493506493509038e-01
3.607038123167155552e-01,6.137012987012988585e-01
3.616813294232649190e-01,6.023376623376622829e-01
3.626588465298142827e-01,6.039610389610390317e-01
3.636363636363636465e-01,6.110389610389612702e-01
3.646138807429130102e-01,6.156493506493506684e-01
3.655913978494623739e-01,6.177272727272727915e-01
3.665689149560117377e-01,6.161038961038962647e-01
3.675464320625611014e-01,6.104545454545454719e-01
