t,derivative
4.770283479960899520e-01,-6.715844155844195029e+00
4.780058651026393157e-01,-8.311688311688328668e+00
4.789833822091886795e-01,-2.792727272727233867e+00
4.799608993157380432e-01,7.314285714285688300e+00
4.809384164222874070e-01,8.178701298701241740e+00
4.819159335288367707e-01,-5.651948051947783824e-01
4.828934506353861345e-01,-7.613506493506520201e+00
4.838709677419354982e-01,-8.012467532467553610e+00
4.848484848484848619e-01,-5.884675324675242791e+00
4.858260019550342257e-01,-1.296623376623358581e+00
4.868035190615835894e-01,3.424415584415555713e+00
4.877810361681329532e-01,4.987012987013031307e+00
4.887585532746823169e-01,2.859220779220777331e+00
4.897360703812316807e-01,-2.593246753246774006e+00
4.907135874877810444e-01,-7.812987012987036906e+00
4.916911045943304082e-01,-9.309090909090969035e+00
4.926686217008797719e-01,-3.923116883116904319e+00
4.936461388074291357e-01,2.127792207792253976e+00
4.946236559139784994e-01,2.925714285714320795e+00
4.956011730205278631e-01,1.196883116883100229e+00
4.965786901270772269e-01,6.981818181818653102e-01
4.975562072336265906e-01,1.961558441558509003e+00
4.985337243401759544e-01,7.912727272727238415e+00
4.995112414467253181e-01,1.652363636363634214e+01
5.004887585532746819e-01,1.745454545454549589e+01
5.014662756598240456e-01,1.452883116883111825e+01
5.024437927663734094e-01,1.346493506493504810e+01
5.034213098729227731e-01,1.555948051948058719e+01
5.043988269794721369e-01,2.038025974025970299e+01
5.053763440860215006e-01,2.563324675324679447e+01
5.063538611925708643e-01,3.191688311688307067e+01
5.073313782991202281e-01,3.683740259740250167e+01
5.083088954056695918e-01,3.949714285714287598e+01
5.092864125122189556e-01,4.022857142857139934e+01
5.102639296187683193e-01,4.185766233766236155e+01
5.112414467253176831e-01,4.345350649350655203e+01
5.122189638318670468e-01,4.478337662337662550e+01
5.131964809384164106e-01,4.787532467532457758e+01
5.141739980449657743e-01,4.903896103896101977e+01
5.151515151515151381e-01,4.551480519480537623e+01
5.161290322580645018e-01,4.119272727272732482e+01
5.171065493646138655e-01,1.748779220779215393e+01
5.180840664711632293e-01,-4.920519480519487843e+00
5.190615835777125930e-01,-4.953766233766259575e+00
5.200391006842619568e-01,-4.953766233766145888e+00
5.210166177908113205e-01,-4.787532467532514602e+00
5.219941348973606843e-01,-4.288831168831279683e+00
5.229716520039100480e-01,-4.953766233766145888e+00
5.239491691104594118e-01,-5.618701298701239466e+00
5.249266862170087755e-01,-4.953766233766259575e+00
5.259042033235581393e-01,-4.854025974026058066e+00
5.268817204301075030e-01,-4.987012987012917620e+00
5.278592375366568668e-01,-4.787532467532514602e+00
5.288367546432062305e-01,-4.820779220779286334e+00
5.298142717497555942e-01,-4.887272727272602424e+00
5.307917888563049580e-01,-5.086753246753232816e+00
5.317693059628543217e-01,-9.774545454545545908e+00
5.327468230694036855e-01,-3.570701298701305859e+01
5.337243401759530492e-01,-6.602805194805188194e+01
5.347018572825024130e-01,-8.597610389610383663e+01
5.356793743890517767e-01,-1.017018181818181688e+02
5.366568914956011405e-01,-1.053922077922077847e+02
5.376344086021505042e-01,-1.016020779220779673e+02
5.386119257086998680e-01,-9.618285714285718768e+01
5.395894428152492317e-01,-8.730597402597408063e+01
5.405669599217985954e-01,-7.384103896103900411e+01
5.415444770283479592e-01,-6.134025974025973937e+01
5.425219941348973229e-01,-4.870649350649350140e+01
5.434995112414466867e-01,-3.391168831168826614e+01
5.444770283479960504e-01,-2.260779220779224374e+01
5.454545454545454142e-01,-1.602493506493507880e+01
5.464320625610947779e-01,-6.217142857142818002e+00
5.474095796676441417e-01,5.219740259740206056e+00
5.483870967741935054e-01,1.283324675324672626e+01
5.493646138807428692e-01,1.994805194805198312e+01
5.503421309872922329e-01,2.609870129870134292e+01
5.513196480938415966e-01,2.912415584415583680e+01
5.522971652003909604e-01,3.118545454545454731e+01
5.532746823069403241e-01,2.902441558441560687e+01
5.542521994134896879e-01,2.044675324675321804e+01
5.552297165200390516e-01,1.263376623376620955e+01
5.562072336265884154e-01,9.807792207792203953e+00
5.571847507331377791e-01,1.399688311688316844e+01
5.581622678396871429e-01,1.958233766233769302e+01
5.591397849462365066e-01,1.758753246753241228e+01
5.601173020527858704e-01,1.073870129870130086e+01
5.610948191593352341e-01,2.692987012987032358e+00
5.620723362658845979e-01,-2.593246753246774006e+00
5.630498533724339616e-01,-4.056103896103905981e+00
5.640273704789834364e-01,-5.651948051947783824e-01
5.650048875855328001e-01,3.823376623376617545e+00
5.659824046920821639e-01,5.020259740259746195e+00
5.669599217986315276e-01,5.286233766233806364e+00
5.679374389051808913e-01,3.125194805194780656e+00
5.689149560117302551e-01,1.728831168831163723e+00
5.698924731182796188e-01,4.521558441558454433e+00
5.708699902248289826e-01,9.575064935064915517e+00
5.718475073313783463e-01,1.004051948051946397e+01
5.728250244379277101e-01,6.350129870129933352e+00
5.738025415444770738e-01,2.626493506493488894e+00
5.747800586510264376e-01,-2.327272727272315933e-01
5.757575757575758013e-01,4.654545454546052952e-01
5.767350928641251651e-01,5.751688311688212707e+00
5.777126099706745288e-01,9.874285714285747417e+00
5.786901270772238925e-01,6.682597402597423297e+00
5.796676441837732563e-01,4.654545454545768735e-01
5.806451612903226200e-01,-3.590649350649357530e+00
5.816226783968719838e-01,-7.380779220779288607e+00
5.826001955034213475e-01,-8.876883116883050207e+00
5.835777126099707113e-01,-6.682597402597451719e+00
5.845552297165200750e-01,-2.294025974026112635e+00
5.855327468230694388e-01,4.089350649350734557e+00
5.865102639296188025e-01,5.086753246753403346e+00
