 v-sweep         v(vinp)         v(voutp)        v(voutn)       
 7.50750000e-01  7.50750000e-01  1.42224155e+00  7.57714312e-02 
 7.50760000e-01  7.50760000e-01  1.42304985e+00  7.50861467e-02 
 7.50770000e-01  7.50770000e-01  1.42383132e+00  7.44211153e-02 
 7.50780000e-01  7.50780000e-01  1.42461311e+00  7.37559843e-02 
 7.50790000e-01  7.50790000e-01  1.42537107e+00  7.31172006e-02 
 7.50800000e-01  7.50800000e-01  1.42612241e+00  7.24788040e-02 
 7.50810000e-01  7.50810000e-01  1.42686258e+00  7.18527271e-02 
 7.50820000e-01  7.50820000e-01  1.42759671e+00  7.12290256e-02 
 7.50830000e-01  7.50830000e-01  1.42830899e+00  7.06265599e-02 
 7.50840000e-01  7.50840000e-01  1.42902127e+00  7.00233133e-02 
 7.50850000e-01  7.50850000e-01  1.42971791e+00  6.94353468e-02 
 7.50860000e-01  7.50860000e-01  1.43040435e+00  6.88560852e-02 
 7.50870000e-01  7.50870000e-01  1.43108071e+00  6.82838425e-02 
 7.50880000e-01  7.50880000e-01  1.43174308e+00  6.77272321e-02 
 7.50890000e-01  7.50890000e-01  1.43240474e+00  6.71645988e-02 
 7.50900000e-01  7.50900000e-01  1.43305294e+00  6.66183410e-02 
 7.50910000e-01  7.50910000e-01  1.43368749e+00  6.60819356e-02 
 7.50920000e-01  7.50920000e-01  1.43431769e+00  6.55473760e-02 
 7.50930000e-01  7.50930000e-01  1.43493974e+00  6.50246854e-02 
 7.50940000e-01  7.50940000e-01  1.43555299e+00  6.45048109e-02 
 7.50950000e-01  7.50950000e-01  1.43615854e+00  6.39980356e-02 
 7.50960000e-01  7.50960000e-01  1.43675578e+00  6.34945298e-02 
 7.50970000e-01  7.50970000e-01  1.43734524e+00  6.29997169e-02 
 7.50980000e-01  7.50980000e-01  1.43792674e+00  6.25061202e-02 
 7.50990000e-01  7.50990000e-01  1.43850474e+00  6.20202738e-02 
 7.51000000e-01  7.51000000e-01  1.43906783e+00  6.15458135e-02 
 7.51010000e-01  7.51010000e-01  1.43963109e+00  6.10725438e-02 
 7.51020000e-01  7.51020000e-01  1.44018009e+00  6.06103491e-02 
 7.51030000e-01  7.51030000e-01  1.44072575e+00  6.01505139e-02 
