 frequency       v(PSRR_dB)     
 3.27228774e+04  1.59006560e+02 
 3.34774581e+04  1.56549804e+02 
 3.42494392e+04  1.57840169e+02 
 3.50392221e+04  1.58363672e+02 
 3.58472171e+04  1.56782771e+02 
 3.66738442e+04  1.65996696e+02 
 3.75195331e+04  1.68919563e+02 
 3.83847234e+04  1.69484532e+02 
 3.92698648e+04  1.57228926e+02 
 4.01754173e+04  1.57895771e+02 
 4.11018515e+04  1.57862141e+02 
 4.20496491e+04  1.67234291e+02 
 4.30193027e+04  1.53314254e+02 
 4.40113162e+04  1.66085755e+02 
 4.50262052e+04  1.66873522e+02 
 4.60644974e+04  1.56445942e+02 
 4.71267322e+04  1.62578642e+02 
 4.82134619e+04  1.58821203e+02 
 4.93252513e+04  1.59254139e+02 
 5.04626783e+04  1.54954975e+02 
 5.16263340e+04  1.58101173e+02 
 5.28168234e+04  1.62816262e+02 
 5.40347650e+04  1.53898605e+02 
 5.52807921e+04  1.68289078e+02 
 5.65555523e+04  1.54134656e+02 
 5.78597080e+04  1.65034682e+02 
 5.91939372e+04  1.65076328e+02 
 6.05589334e+04  1.57206344e+02 
 6.19554061e+04  1.53391749e+02 
 6.33840810e+04  1.57034881e+02 
 6.48457008e+04  1.52117359e+02 
 6.63410251e+04  1.56231134e+02 
 6.78708313e+04  1.59711332e+02 
 6.94359143e+04  1.54998418e+02 
 7.10370877e+04  1.58679981e+02 
 7.26751838e+04  1.58035894e+02 
 7.43510539e+04  1.57390130e+02 
