 time            v(Vb)           v(Voutp)        v(Voutn)        v(Vbias)        v(Vcmref)      
 9.91875509e-04  9.59201254e-01  7.50000000e-01  7.50000000e-01  9.97968877e-01  7.50000000e-01 
 9.91875743e-04  9.59217887e-01  7.50000000e-01  7.50000000e-01  9.97968936e-01  7.50000000e-01 
 9.91875960e-04  9.59215376e-01  7.50000000e-01  7.50000000e-01  9.97968990e-01  7.50000000e-01 
 9.91876392e-04  9.59215507e-01  7.50000000e-01  7.50000000e-01  9.97969098e-01  7.50000000e-01 
 9.91877256e-04  9.59215638e-01  7.50000000e-01  7.50000000e-01  9.97969314e-01  7.50000000e-01 
 9.91878985e-04  9.59215430e-01  7.50000000e-01  7.50000000e-01  9.97969746e-01  7.50000000e-01 
 9.91882443e-04  9.59215666e-01  7.50000000e-01  7.50000000e-01  9.97970611e-01  7.50000000e-01 
 9.91889358e-04  9.59215414e-01  7.50000000e-01  7.50000000e-01  9.97972340e-01  7.50000000e-01 
 9.91903189e-04  9.59215667e-01  7.50000000e-01  7.50000000e-01  9.97975797e-01  7.50000000e-01 
 9.91930851e-04  9.59215400e-01  7.50000000e-01  7.50000000e-01  9.97982713e-01  7.50000000e-01 
 9.91986176e-04  9.59215647e-01  7.50000000e-01  7.50000000e-01  9.97996544e-01  7.50000000e-01 
 9.92000000e-04  9.59215380e-01  7.50000000e-01  7.50000000e-01  9.98000000e-01  7.50000000e-01 
 9.92000001e-04  9.59218169e-01  7.50000000e-01  7.50000000e-01  9.98000000e-01  7.50000000e-01 
 9.92000003e-04  9.59223167e-01  7.50000000e-01  7.50000000e-01  9.98000001e-01  7.50000000e-01 
 9.92000007e-04  9.59233035e-01  7.50000000e-01  7.50000000e-01  9.98000002e-01  7.50000000e-01 
 9.92000010e-04  9.59246528e-01  7.50000000e-01  7.50000000e-01  9.98000002e-01  7.50000000e-01 
 9.92000010e-04  9.59246073e-01  7.50000000e-01  7.50000000e-01  9.98000003e-01  7.50000000e-01 
 9.92000011e-04  9.59244851e-01  7.50000000e-01  7.50000000e-01  9.98000003e-01  7.50000000e-01 
 9.92000013e-04  9.59242487e-01  7.50000000e-01  7.50000000e-01  9.98000003e-01  7.50000000e-01 
 9.92000016e-04  9.59238536e-01  7.50000000e-01  7.50000000e-01  9.98000004e-01  7.50000000e-01 
 9.92000022e-04  9.59231043e-01  7.50000000e-01  7.50000000e-01  9.98000005e-01  7.50000000e-01 
 9.92000034e-04  9.59217812e-01  7.50000000e-01  7.50000000e-01  9.98000008e-01  7.50000000e-01 
 9.92000057e-04  9.59198632e-01  7.50000000e-01  7.50000000e-01  9.98000014e-01  7.50000000e-01 
 9.92000105e-04  9.59191620e-01  7.50000000e-01  7.50000000e-01  9.98000026e-01  7.50000000e-01 
 9.92000151e-04  9.59200832e-01  7.50000000e-01  7.50000000e-01  9.98000038e-01  7.50000000e-01 
 9.92000206e-04  9.59209387e-01  7.50000000e-01  7.50000000e-01  9.98000051e-01  7.50000000e-01 
 9.92000313e-04  9.59214917e-01  7.50000000e-01  7.50000000e-01  9.98000078e-01  7.50000000e-01 
 9.92000414e-04  9.59215497e-01  7.50000000e-01  7.50000000e-01  9.98000104e-01  7.50000000e-01 
 9.92000618e-04  9.59215549e-01  7.50000000e-01  7.50000000e-01  9.98000155e-01  7.50000000e-01 
 9.92000885e-04  9.59215522e-01  7.50000000e-01  7.50000000e-01  9.98000221e-01  7.50000000e-01 
 9.92001417e-04  9.59215522e-01  7.50000000e-01  7.50000000e-01  9.98000354e-01  7.50000000e-01 
 9.92002482e-04  9.59215516e-01  7.50000000e-01  7.50000000e-01  9.98000621e-01  7.50000000e-01 
 9.92004612e-04  9.59215513e-01  7.50000000e-01  7.50000000e-01  9.98001153e-01  7.50000000e-01 
 9.92008694e-04  9.59215514e-01  7.50000000e-01  7.50000000e-01  9.98002174e-01  7.50000000e-01 
 9.92015518e-04  9.59215510e-01  7.50000000e-01  7.50000000e-01  9.98003880e-01  7.50000000e-01 
 9.92029166e-04  9.59215509e-01  7.50000000e-01  7.50000000e-01  9.98007292e-01  7.50000000e-01 
 9.92056463e-04  9.59215499e-01  7.50000000e-01  7.50000000e-01  9.98014116e-01  7.50000000e-01 
 9.92111055e-04  9.59215487e-01  7.50000000e-01  7.50000000e-01  9.98027764e-01  7.50000000e-01 
 9.92220240e-04  9.59215456e-01  7.50000000e-01  7.50000000e-01  9.98055060e-01  7.50000000e-01 
 9.92438611e-04  9.59215401e-01  7.50000000e-01  7.50000000e-01  9.98109653e-01  7.50000000e-01 
 9.92875351e-04  9.59215284e-01  7.50000000e-01  7.50000000e-01  9.98218838e-01  7.50000000e-01 
 9.93748832e-04  9.59215057e-01  7.50000000e-01  7.50000000e-01  9.98437208e-01  7.50000000e-01 
 9.95495795e-04  9.59214596e-01  7.50000000e-01  7.50000000e-01  9.98873949e-01  7.50000000e-01 
 9.98989719e-04  9.59213682e-01  7.50000000e-01  7.50000000e-01  9.99747430e-01  7.50000000e-01 
 9.99875010e-04  9.59213447e-01  7.50000000e-01  7.50000000e-01  9.99968753e-01  7.50000000e-01 
 9.99875011e-04  9.59207170e-01  7.50000000e-01  7.50000000e-01  9.99968753e-01  7.50000000e-01 
 9.99875013e-04  9.59196739e-01  7.50000000e-01  7.50000000e-01  9.99968753e-01  7.50000000e-01 
 9.99875017e-04  9.59184358e-01  7.50000000e-01  7.50000000e-01  9.99968754e-01  7.50000000e-01 
 9.99875020e-04  9.59178731e-01  7.50000000e-01  7.50000000e-01  9.99968755e-01  7.50000000e-01 
 9.99875020e-04  9.59179399e-01  7.50000000e-01  7.50000000e-01  9.99968755e-01  7.50000000e-01 
 9.99875021e-04  9.59180412e-01  7.50000000e-01  7.50000000e-01  9.99968755e-01  7.50000000e-01 
 9.99875023e-04  9.59182130e-01  7.50000000e-01  7.50000000e-01  9.99968756e-01  7.50000000e-01 
 9.99875026e-04  9.59185580e-01  7.50000000e-01  7.50000000e-01  9.99968756e-01  7.50000000e-01 
 9.99875032e-04  9.59191595e-01  7.50000000e-01  7.50000000e-01  9.99968758e-01  7.50000000e-01 
 9.99875045e-04  9.59201324e-01  7.50000000e-01  7.50000000e-01  9.99968761e-01  7.50000000e-01 
 9.99875070e-04  9.59213272e-01  7.50000000e-01  7.50000000e-01  9.99968767e-01  7.50000000e-01 
 9.99875120e-04  9.59221932e-01  7.50000000e-01  7.50000000e-01  9.99968780e-01  7.50000000e-01 
 9.99875220e-04  9.59222534e-01  7.50000000e-01  7.50000000e-01  9.99968805e-01  7.50000000e-01 
 9.99875378e-04  9.59218617e-01  7.50000000e-01  7.50000000e-01  9.99968845e-01  7.50000000e-01 
 9.99875552e-04  9.59215294e-01  7.50000000e-01  7.50000000e-01  9.99968888e-01  7.50000000e-01 
 9.99875768e-04  9.59213804e-01  7.50000000e-01  7.50000000e-01  9.99968942e-01  7.50000000e-01 
 9.99875996e-04  9.59213508e-01  7.50000000e-01  7.50000000e-01  9.99968999e-01  7.50000000e-01 
 9.99876451e-04  9.59213462e-01  7.50000000e-01  7.50000000e-01  9.99969113e-01  7.50000000e-01 
 9.99877062e-04  9.59213424e-01  7.50000000e-01  7.50000000e-01  9.99969265e-01  7.50000000e-01 
 9.99878282e-04  9.59213472e-01  7.50000000e-01  7.50000000e-01  9.99969571e-01  7.50000000e-01 
 9.99880724e-04  9.59213422e-01  7.50000000e-01  7.50000000e-01  9.99970181e-01  7.50000000e-01 
 9.99885607e-04  9.59213471e-01  7.50000000e-01  7.50000000e-01  9.99971402e-01  7.50000000e-01 
 9.99895372e-04  9.59213418e-01  7.50000000e-01  7.50000000e-01  9.99973843e-01  7.50000000e-01 
 9.99914904e-04  9.59213463e-01  7.50000000e-01  7.50000000e-01  9.99978726e-01  7.50000000e-01 
 9.99953967e-04  9.59213403e-01  7.50000000e-01  7.50000000e-01  9.99988492e-01  7.50000000e-01 
 1.00000000e-03  9.59213442e-01  7.50000000e-01  7.50000000e-01  1.00000000e+00  7.50000000e-01 
 1.00000000e-03  9.59319782e-01  7.50000000e-01  7.50000000e-01  1.00000000e+00  7.50000000e-01 
 1.00000000e-03  9.59547534e-01  7.50000000e-01  7.50000000e-01  9.99999999e-01  7.50000000e-01 
 1.00000001e-03  9.60021993e-01  7.50000000e-01  7.50000000e-01  9.99999998e-01  7.50000000e-01 
 1.00000001e-03  9.60604992e-01  7.50000000e-01  7.50000000e-01  9.99999998e-01  7.50000000e-01 
 1.00000001e-03  9.60628472e-01  7.50000000e-01  7.50000000e-01  9.99999997e-01  7.50000000e-01 
