 time            v(VDD)          v(Vbias)        v(Vbiasc)       v(bias_en)      v(Vsu)          v(Vres)        
 8.00001560e-06  1.05000234e-01 -4.16843570e-02 -1.42285263e-02  1.05000234e-01  7.29108614e-03 -2.14551961e-02 
 8.00002200e-06  1.05000330e-01 -4.16842472e-02 -1.42284582e-02  1.05000330e-01  7.29109935e-03 -2.13687150e-02 
 8.00003480e-06  1.05000522e-01 -4.16840265e-02 -1.42283220e-02  1.05000522e-01  7.29112580e-03 -2.11948395e-02 
 8.00006040e-06  1.05000906e-01 -4.16835957e-02 -1.42280500e-02  1.05000906e-01  7.29117843e-03 -2.08557053e-02 
 8.00011160e-06  1.05001674e-01 -4.16827895e-02 -1.42275103e-02  1.05001674e-01  7.29128223e-03 -2.02229122e-02 
 8.00021400e-06  1.05003210e-01 -4.16813590e-02 -1.42264440e-02  1.05003210e-01  7.29148507e-03 -1.91062155e-02 
 8.00041880e-06  1.05006282e-01 -4.16791061e-02 -1.42243558e-02  1.05006282e-01  7.29187482e-03 -1.73727647e-02 
 8.00082840e-06  1.05012426e-01 -4.16762347e-02 -1.42203021e-02  1.05012426e-01  7.29261156e-03 -1.52513872e-02 
 8.00164760e-06  1.05024714e-01 -4.16736279e-02 -1.42124471e-02  1.05024714e-01  7.29400303e-03 -1.36279363e-02 
 8.00328600e-06  1.05049290e-01 -4.16717537e-02 -1.41970777e-02  1.05049290e-01  7.29669925e-03 -1.32216185e-02 
 8.00584339e-06  1.05087651e-01 -4.16696681e-02 -1.41733300e-02  1.05087651e-01  7.30088796e-03 -1.32992093e-02 
 8.01019241e-06  1.05152886e-01 -4.16659071e-02 -1.41331581e-02  1.05152886e-01  7.30802328e-03 -1.32654546e-02 
 8.01889044e-06  1.05283357e-01 -4.16584501e-02 -1.40530600e-02  1.05283357e-01  7.32231784e-03 -1.32864189e-02 
 8.03628651e-06  1.05544298e-01 -4.16434050e-02 -1.38929491e-02  1.05544298e-01  7.35101507e-03 -1.32665512e-02 
 8.07107865e-06  1.06066180e-01 -4.16133011e-02 -1.35725795e-02  1.06066180e-01  7.40883576e-03 -1.32795307e-02 
 8.14066294e-06  1.07109944e-01 -4.15529556e-02 -1.29318012e-02  1.07109944e-01  7.52623146e-03 -1.32581147e-02 
 8.26566294e-06  1.08984944e-01 -4.14445358e-02 -1.17813781e-02  1.08984944e-01  7.74328805e-03 -1.32646566e-02 
 8.39066294e-06  1.10859944e-01 -4.13359583e-02 -1.06317641e-02  1.10859944e-01  7.96891145e-03 -1.32419313e-02 
 8.51566294e-06  1.12734944e-01 -4.12273075e-02 -9.48311379e-03  1.12734944e-01  8.20399184e-03 -1.32491490e-02 
 8.64066294e-06  1.14609944e-01 -4.11185320e-02 -8.33565896e-03  1.14609944e-01  8.44943063e-03 -1.32272787e-02 
 8.76566294e-06  1.16484944e-01 -4.10096472e-02 -7.18941511e-03  1.16484944e-01  8.70621467e-03 -1.32340790e-02 
 8.89066294e-06  1.18359944e-01 -4.09005710e-02 -6.04447734e-03  1.18359944e-01  8.97542632e-03 -1.32125856e-02 
 9.01566294e-06  1.20234944e-01 -4.07913425e-02 -4.90090808e-03  1.20234944e-01  9.25824518e-03 -1.32186713e-02 
 9.14066294e-06  1.22109944e-01 -4.06818789e-02 -3.75876887e-03  1.22109944e-01  9.55596394e-03 -1.31973310e-02 
 9.26566294e-06  1.23984944e-01 -4.05722246e-02 -2.61812453e-03  1.23984944e-01  9.86999195e-03 -1.32025837e-02 
 9.39066294e-06  1.25859944e-01 -4.04622999e-02 -1.47902543e-03  1.25859944e-01  1.02018730e-02 -1.31812910e-02 
 9.51566294e-06  1.27734944e-01 -4.03521498e-02 -3.41532528e-04  1.27734944e-01  1.05532900e-02 -1.31856743e-02 
 9.64066294e-06  1.29609944e-01 -4.02416976e-02  7.94308369e-04  1.29609944e-01  1.09260826e-02 -1.31643870e-02 
 9.76566294e-06  1.31484944e-01 -4.01309867e-02  1.92843939e-03  1.31484944e-01  1.13222511e-02 -1.31679171e-02 
 9.89066294e-06  1.33359944e-01 -4.00199425e-02  3.06081651e-03  1.33359944e-01  1.17439727e-02 -1.31466468e-02 
 1.00156629e-05  1.35234944e-01 -3.99086063e-02  4.19138347e-03  1.35234944e-01  1.21936020e-02 -1.31494020e-02 
 1.01406629e-05  1.37109944e-01 -3.97969048e-02  5.32009641e-03  1.37109944e-01  1.26736828e-02 -1.31282423e-02 
 1.02656629e-05  1.38984944e-01 -3.96848765e-02  6.44689949e-03  1.38984944e-01  1.31869430e-02 -1.31304107e-02 
 1.03906629e-05  1.40859944e-01 -3.95724490e-02  7.57174798e-03  1.40859944e-01  1.37362977e-02 -1.31096022e-02 
 1.05156629e-05  1.42734944e-01 -3.94596577e-02  8.69458538e-03  1.42734944e-01  1.43248347e-02 -1.31115399e-02 
 1.06406629e-05  1.44609944e-01 -3.93464307e-02  9.81536511e-03  1.44609944e-01  1.49558057e-02 -1.30914572e-02 
 1.07656629e-05  1.46484944e-01 -3.92328002e-02  1.09340290e-02  1.46484944e-01  1.56325973e-02 -1.30935137e-02 
 1.08906629e-05  1.48359944e-01 -3.91186941e-02  1.20505275e-02  1.48359944e-01  1.63587071e-02 -1.30742957e-02 
 1.10156629e-05  1.50234944e-01 -3.90041412e-02  1.31647993e-02  1.50234944e-01  1.71376987e-02 -1.30763883e-02 
 1.11406629e-05  1.52109944e-01 -3.88890692e-02  1.42767907e-02  1.52109944e-01  1.79731610e-02 -1.30577330e-02 
 1.12656629e-05  1.53984944e-01 -3.87735037e-02  1.53864356e-02  1.53984944e-01  1.88686485e-02 -1.30595267e-02 
 1.13906629e-05  1.55859944e-01 -3.86573723e-02  1.64936742e-02  1.55859944e-01  1.98276272e-02 -1.30411252e-02 
 1.15156629e-05  1.57734944e-01 -3.85406977e-02  1.75984341e-02  1.57734944e-01  2.08534067e-02 -1.30424288e-02 
 1.16406629e-05  1.59609944e-01 -3.84234076e-02  1.87006476e-02  1.59609944e-01  2.19490816e-02 -1.30241466e-02 
 1.17656629e-05  1.61484944e-01 -3.83055218e-02  1.98002344e-02  1.61484944e-01  2.31174641e-02 -1.30249054e-02 
 1.18906629e-05  1.63359944e-01 -3.81869681e-02  2.08971175e-02  1.63359944e-01  2.43610308e-02 -1.30066966e-02 
 1.20156629e-05  1.65234944e-01 -3.80677637e-02  2.19912076e-02  1.65234944e-01  2.56818650e-02 -1.30069057e-02 
 1.21406629e-05  1.67109944e-01 -3.79478367e-02  2.30824178e-02  1.67109944e-01  2.70816117e-02 -1.29887509e-02 
 1.22656629e-05  1.68984944e-01 -3.78272013e-02  2.41706492e-02  1.68984944e-01  2.85614266e-02 -1.29884178e-02 
 1.23906629e-05  1.70859944e-01 -3.77057858e-02  2.52558056e-02  1.70859944e-01  3.01219308e-02 -1.29703037e-02 
 1.25156629e-05  1.72734944e-01 -3.75836017e-02  2.63377792e-02  1.72734944e-01  3.17631457e-02 -1.29694373e-02 
 1.26406629e-05  1.74609944e-01 -3.74605770e-02  2.74164651e-02  1.74609944e-01  3.34844183e-02 -1.29513516e-02 
 1.27656629e-05  1.76484944e-01 -3.73367865e-02  2.84919488e-02  1.76484944e-01  3.52843036e-02 -1.29499778e-02 
 1.28906629e-05  1.78359944e-01 -3.72122777e-02  2.95632796e-02  1.78359944e-01  3.71600525e-02 -1.29318922e-02 
 1.30156629e-05  1.80234944e-01 -3.70868071e-02  3.06311747e-02  1.80234944e-01  3.91073840e-02 -1.29300014e-02 
 1.31406629e-05  1.82109944e-01 -3.69603883e-02  3.16952524e-02  1.82109944e-01  4.11221569e-02 -1.29119222e-02 
 1.32656629e-05  1.83984944e-01 -3.68329978e-02  3.27554403e-02  1.83984944e-01  4.31962178e-02 -1.29095226e-02 
 1.33906629e-05  1.85859944e-01 -3.67046442e-02  3.38118383e-02  1.85859944e-01  4.53185898e-02 -1.28914549e-02 
 1.35156629e-05  1.87734944e-01 -3.65754548e-02  3.48633752e-02  1.87734944e-01  4.74779402e-02 -1.28885406e-02 
 1.36406629e-05  1.89609944e-01 -3.64451072e-02  3.59108805e-02  1.89609944e-01  4.96587739e-02 -1.28704588e-02 
 1.37656629e-05  1.91484944e-01 -3.63137037e-02  3.69538760e-02  1.91484944e-01  5.18415943e-02 -1.28670550e-02 
 1.38906629e-05  1.93359944e-01 -3.61811693e-02  3.79923415e-02  1.93359944e-01  5.40029978e-02 -1.28489507e-02 
 1.40156629e-05  1.95234944e-01 -3.60475432e-02  3.90260915e-02  1.95234944e-01  5.61161536e-02 -1.28450675e-02 
 1.41406629e-05  1.97109944e-01 -3.59128013e-02  4.00549840e-02  1.97109944e-01  5.81521903e-02 -1.28269341e-02 
 1.42656629e-05  1.98984944e-01 -3.57769988e-02  4.10788655e-02  1.98984944e-01  6.00825696e-02 -1.28225821e-02 
