 time            v(clk)          v(vout)         v(vinp)         v(vinn)        
 6.65725143e-08  0.00000000e+00  1.36941327e-07  7.25322863e-01  7.50000000e-01 
 6.66667052e-08  0.00000000e+00  1.36941241e-07  7.25323334e-01  7.50000000e-01 
 6.67696583e-08  0.00000000e+00  1.36941156e-07  7.25323848e-01  7.50000000e-01 
 6.68829954e-08  0.00000000e+00  1.36941053e-07  7.25324415e-01  7.50000000e-01 
 6.70089321e-08  0.00000000e+00  1.36940939e-07  7.25325045e-01  7.50000000e-01 
 6.71503142e-08  0.00000000e+00  1.36940811e-07  7.25325752e-01  7.50000000e-01 
 6.73111232e-08  0.00000000e+00  1.36940663e-07  7.25326556e-01  7.50000000e-01 
 6.74968781e-08  0.00000000e+00  1.36940499e-07  7.25327484e-01  7.50000000e-01 
 6.77157524e-08  0.00000000e+00  1.36940291e-07  7.25328579e-01  7.50000000e-01 
 6.79802103e-08  0.00000000e+00  1.36940047e-07  7.25329901e-01  7.50000000e-01 
 6.83106953e-08  0.00000000e+00  1.36939739e-07  7.25331553e-01  7.50000000e-01 
 6.87432872e-08  0.00000000e+00  1.36939337e-07  7.25333716e-01  7.50000000e-01 
 6.93496143e-08  0.00000000e+00  1.36938771e-07  7.25336748e-01  7.50000000e-01 
 7.02985962e-08  0.00000000e+00  1.36937888e-07  7.25341493e-01  7.50000000e-01 
 7.21466425e-08  0.00000000e+00  1.36936171e-07  7.25350733e-01  7.50000000e-01 
 7.58427351e-08  0.00000000e+00  1.36932747e-07  7.25369214e-01  7.50000000e-01 
 8.11561708e-08  0.00000000e+00  1.36927853e-07  7.25395781e-01  7.50000000e-01 
 8.86454151e-08  0.00000000e+00  1.36921010e-07  7.25433227e-01  7.50000000e-01 
 9.90575946e-08  0.00000000e+00  1.36911599e-07  7.25485288e-01  7.50000000e-01 
 1.13924810e-07  0.00000000e+00  1.36898371e-07  7.25559624e-01  7.50000000e-01 
 1.27000000e-07  3.97046694e-12  1.36886935e-07  7.25625000e-01  7.50000000e-01 
 1.27001000e-07  1.50000000e-01  9.74522496e-06  7.25625005e-01  7.50000000e-01 
 1.27003000e-07  4.50000000e-01  1.48027009e-05  7.25625015e-01  7.50000000e-01 
 1.27003527e-07  5.29023192e-01  1.27053317e-05  7.25625018e-01  7.50000000e-01 
 1.27004580e-07  6.87069576e-01  6.07713075e-06  7.25625023e-01  7.50000000e-01 
 1.27005577e-07  8.36577473e-01 -2.40608840e-06  7.25625028e-01  7.50000000e-01 
 1.27006526e-07  9.78830903e-01 -1.20499522e-05  7.25625033e-01  7.50000000e-01 
 1.27007556e-07  1.13344211e+00 -2.36263301e-05  7.25625038e-01  7.50000000e-01 
 1.27008529e-07  1.27940572e+00 -3.53877615e-05  7.25625043e-01  7.50000000e-01 
 1.27009370e-07  1.40547004e+00 -4.44485127e-05  7.25625047e-01  7.50000000e-01 
 1.27010000e-07  1.50000000e+00 -4.94056507e-05  7.25625050e-01  7.50000000e-01 
 1.27010074e-07  1.50000000e+00 -5.02350650e-05  7.25625050e-01  7.50000000e-01 
 1.27010222e-07  1.50000000e+00 -5.25494214e-05  7.25625051e-01  7.50000000e-01 
 1.27010450e-07  1.50000000e+00 -5.68834692e-05  7.25625052e-01  7.50000000e-01 
 1.27010712e-07  1.50000000e+00 -6.13552406e-05  7.25625054e-01  7.50000000e-01 
 1.27010993e-07  1.50000000e+00 -6.43516324e-05  7.25625055e-01  7.50000000e-01 
 1.27011383e-07  1.50000000e+00 -6.50106953e-05  7.25625057e-01  7.50000000e-01 
 1.27011940e-07  1.50000000e+00 -6.06198227e-05  7.25625060e-01  7.50000000e-01 
 1.27013054e-07  1.50000000e+00 -4.32901737e-05  7.25625065e-01  7.50000000e-01 
 1.27013968e-07  1.50000000e+00 -2.66220039e-05  7.25625070e-01  7.50000000e-01 
 1.27014964e-07  1.50000000e+00 -1.04928934e-05  7.25625075e-01  7.50000000e-01 
 1.27015862e-07  1.50000000e+00  5.88981546e-07  7.25625079e-01  7.50000000e-01 
 1.27016912e-07  1.50000000e+00  8.78242287e-06  7.25625085e-01  7.50000000e-01 
 1.27018028e-07  1.50000000e+00  1.24152957e-05  7.25625090e-01  7.50000000e-01 
