 time            v(a_1V5)        v(b_3V3)        v(x1t)          v(a_3V3)        v(b_1V5)        v(x2t)         
 1.04559932e-08  1.50000000e+00  3.19984781e+00  6.80327102e-05  3.30000000e+00  1.50000000e+00  3.89436628e-05 
 1.05559932e-08  1.50000000e+00  3.20486847e+00  6.47008403e-05  3.30000000e+00  1.49999977e+00 -3.44491688e-05 
 1.06559932e-08  1.50000000e+00  3.20964251e+00  6.16537739e-05  3.30000000e+00  1.50000002e+00  3.67281747e-05 
 1.07559932e-08  1.50000000e+00  3.21418152e+00  5.86078327e-05  3.30000000e+00  1.49999979e+00 -3.22984008e-05 
 1.08559932e-08  1.50000000e+00  3.21849661e+00  5.58355504e-05  3.30000000e+00  1.50000003e+00  3.46402442e-05 
 1.09559932e-08  1.50000000e+00  3.22259843e+00  5.30546404e-05  3.30000000e+00  1.49999981e+00 -3.02714821e-05 
 1.10559932e-08  1.50000000e+00  3.22649713e+00  5.05364457e-05  3.30000000e+00  1.50000004e+00  3.26725657e-05 
 1.11559932e-08  1.50000000e+00  3.23020245e+00  4.80002632e-05  3.30000000e+00  1.49999983e+00 -2.83613200e-05 
 1.12559932e-08  1.50000000e+00  3.23372368e+00  4.57162103e-05  3.30000000e+00  1.50000004e+00  3.08182519e-05 
 1.13559932e-08  1.50000000e+00  3.23706969e+00  4.34052938e-05  3.30000000e+00  1.49999984e+00 -2.65612275e-05 
 1.14559932e-08  1.50000000e+00  3.24024896e+00  4.13363789e-05  3.30000000e+00  1.50000004e+00  2.90708094e-05 
 1.15559932e-08  1.50000000e+00  3.24326958e+00  3.92322677e-05  3.30000000e+00  1.49999985e+00 -2.48649004e-05 
 1.16559932e-08  1.50000000e+00  3.24613927e+00  3.73605459e-05  3.30000000e+00  1.50000004e+00  2.74241168e-05 
 1.17559932e-08  1.50000000e+00  3.24886539e+00  3.54458689e-05  3.30000000e+00  1.49999986e+00 -2.32663948e-05 
 1.18559932e-08  1.50000000e+00  3.25145497e+00  3.37545140e-05  3.30000000e+00  1.50000003e+00  2.58724027e-05 
 1.19559932e-08  1.50000000e+00  3.25391469e+00  3.20130303e-05  3.30000000e+00  1.49999986e+00 -2.17601073e-05 
 1.20559932e-08  1.50000000e+00  3.25625096e+00  3.04863549e-05  3.30000000e+00  1.50000003e+00  2.44102261e-05 
 1.21559932e-08  1.50000000e+00  3.25846984e+00  2.89029581e-05  3.30000000e+00  1.49999987e+00 -2.03407548e-05 
 1.22559932e-08  1.50000000e+00  3.26057712e+00  2.75264023e-05  3.30000000e+00  1.50000003e+00  2.30324576e-05 
