 time            v(VDD)          v(Vbias)        v(bias_en)      v(Vsu)         
 4.96250000e-05  7.29375000e-01  1.31424141e-02  7.29375000e-01  2.15650373e-01 
 4.98750000e-05  7.33125000e-01  1.34099194e-02  7.33125000e-01  2.16513665e-01 
 5.01250000e-05  7.36875000e-01  1.36809660e-02  7.36875000e-01  2.17376689e-01 
 5.03750000e-05  7.40625000e-01  1.39555625e-02  7.40625000e-01  2.18239490e-01 
 5.06250000e-05  7.44375000e-01  1.42337169e-02  7.44375000e-01  2.19102110e-01 
 5.08750000e-05  7.48125000e-01  1.45154370e-02  7.48125000e-01  2.19964592e-01 
 5.11250000e-05  7.51875000e-01  1.48007297e-02  7.51875000e-01  2.20826975e-01 
 5.13750000e-05  7.55625000e-01  1.50896017e-02  7.55625000e-01  2.21689301e-01 
 5.16250000e-05  7.59375000e-01  1.53820589e-02  7.59375000e-01  2.22551608e-01 
 5.18750000e-05  7.63125000e-01  1.56781069e-02  7.63125000e-01  2.23413933e-01 
 5.21250000e-05  7.66875000e-01  1.59777504e-02  7.66875000e-01  2.24276313e-01 
 5.23750000e-05  7.70625000e-01  1.62809940e-02  7.70625000e-01  2.25138783e-01 
 5.26250000e-05  7.74375000e-01  1.65878415e-02  7.74375000e-01  2.26001378e-01 
 5.28750000e-05  7.78125000e-01  1.68982960e-02  7.78125000e-01  2.26864130e-01 
 5.31250000e-05  7.81875000e-01  1.72123604e-02  7.81875000e-01  2.27727073e-01 
 5.33750000e-05  7.85625000e-01  1.75300369e-02  7.85625000e-01  2.28590236e-01 
 5.36250000e-05  7.89375000e-01  1.78513270e-02  7.89375000e-01  2.29453651e-01 
 5.38750000e-05  7.93125000e-01  1.81762318e-02  7.93125000e-01  2.30317346e-01 
 5.41250000e-05  7.96875000e-01  1.85047519e-02  7.96875000e-01  2.31181350e-01 
 5.43750000e-05  8.00625000e-01  1.88368871e-02  8.00625000e-01  2.32045688e-01 
 5.46250000e-05  8.04375000e-01  1.91726368e-02  8.04375000e-01  2.32910386e-01 
 5.48750000e-05  8.08125000e-01  1.95119997e-02  8.08125000e-01  2.33775471e-01 
 5.51250000e-05  8.11875000e-01  1.98549742e-02  8.11875000e-01  2.34640963e-01 
 5.53750000e-05  8.15625000e-01  2.02015577e-02  8.15625000e-01  2.35506887e-01 
 5.56250000e-05  8.19375000e-01  2.05517474e-02  8.19375000e-01  2.36373264e-01 
 5.58750000e-05  8.23125000e-01  2.09055396e-02  8.23125000e-01  2.37240114e-01 
 5.61250000e-05  8.26875000e-01  2.12629303e-02  8.26875000e-01  2.38107456e-01 
 5.63750000e-05  8.30625000e-01  2.16239147e-02  8.30625000e-01  2.38975309e-01 
 5.66250000e-05  8.34375000e-01  2.19884875e-02  8.34375000e-01  2.39843690e-01 
 5.68750000e-05  8.38125000e-01  2.23566427e-02  8.38125000e-01  2.40712614e-01 
 5.71250000e-05  8.41875000e-01  2.27283738e-02  8.41875000e-01  2.41582097e-01 
 5.73750000e-05  8.45625000e-01  2.31036736e-02  8.45625000e-01  2.42452152e-01 
 5.76250000e-05  8.49375000e-01  2.34825345e-02  8.49375000e-01  2.43322792e-01 
 5.78750000e-05  8.53125000e-01  2.38649481e-02  8.53125000e-01  2.44194030e-01 
 5.81250000e-05  8.56875000e-01  2.42509052e-02  8.56875000e-01  2.45065875e-01 
 5.83750000e-05  8.60625000e-01  2.46403964e-02  8.60625000e-01  2.45938338e-01 
 5.86250000e-05  8.64375000e-01  2.50334113e-02  8.64375000e-01  2.46811426e-01 
 5.88750000e-05  8.68125000e-01  2.54299391e-02  8.68125000e-01  2.47685147e-01 
 5.91250000e-05  8.71875000e-01  2.58299683e-02  8.71875000e-01  2.48559508e-01 
 5.93750000e-05  8.75625000e-01  2.62334866e-02  8.75625000e-01  2.49434513e-01 
 5.96250000e-05  8.79375000e-01  2.66404812e-02  8.79375000e-01  2.50310166e-01 
 5.98750000e-05  8.83125000e-01  2.70509387e-02  8.83125000e-01  2.51186472e-01 
