 time            v(vout_comp)    v(vinp)         v(vinn)        
 1.00120376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00120876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00121376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00121876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00122376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00122876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00123376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00123876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00124376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00124876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00125376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00125876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00126376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00126876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00127376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00127876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00128376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00128876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00129376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00129876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00130376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00130876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00131376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00131876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00132376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00132876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00133376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00133876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00134376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00134876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00135376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00135876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00136376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00136876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00137376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00137876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00138376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00138876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00139376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00139876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00140376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00140876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00141376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00141876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00142376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00142876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00143376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00143876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00144376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00144876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00145376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00145876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00146376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00146876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00147376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00147876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00148376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00148876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00149376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00149876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00150376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00150876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00151376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00151876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00152376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00152876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00153376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00153876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00154376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00154876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00155376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00155876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00156376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00156876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00157376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00157876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00158376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00158876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00159376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00159876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00160376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00160876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00161376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00161876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00162376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00162876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00163376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00163876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00164376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00164876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00165376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00165876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00166376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00166876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00167376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00167876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00168376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00168876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00169376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00169876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00170376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00170876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00171376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00171876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00172376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00172876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00173376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00173876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00174376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00174876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00175376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00175876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00176376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00176876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00177376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00177876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00178376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00178876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00179376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00179876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00180376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00180876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00181376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00181876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00182376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00182876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00183376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00183876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00184376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00184876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00185376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00185876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00186376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00186876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00187376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00187876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00188376e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
 1.00188876e-06  1.50000000e+00  1.50000000e+00  7.50000000e-01 
