 frequency       v(CMRR_dB)      v(CMRR_arg)    
 7.26751838e+01  5.88110423e+01 -8.75979860e+01 
 7.43510539e+01  5.86132461e+01 -8.75743973e+01 
 7.60655691e+01  5.84154588e+01 -8.75495642e+01 
 7.78196206e+01  5.82176809e+01 -8.75234464e+01 
 7.96141200e+01  5.80199126e+01 -8.74960544e+01 
 8.14500001e+01  5.78221549e+01 -8.74673577e+01 
 8.33282151e+01  5.76244080e+01 -8.74373547e+01 
 8.52497412e+01  5.74266726e+01 -8.74060206e+01 
 8.72155772e+01  5.72289493e+01 -8.73733458e+01 
 8.92267449e+01  5.70312387e+01 -8.73393016e+01 
 9.12842895e+01  5.68335413e+01 -8.73038885e+01 
 9.33892805e+01  5.66358579e+01 -8.72670630e+01 
 9.55428121e+01  5.64381892e+01 -8.72288374e+01 
 9.77460036e+01  5.62405360e+01 -8.71891728e+01 
 1.00000000e+02  5.60428989e+01 -8.71480545e+01 
 1.02305973e+02  5.58452786e+01 -8.71054566e+01 
 1.04665121e+02  5.56476761e+01 -8.70613654e+01 
 1.07078670e+02  5.54500924e+01 -8.70157485e+01 
 1.09547876e+02  5.52525282e+01 -8.69686000e+01 
 1.12074020e+02  5.50549845e+01 -8.69198673e+01 
 1.14658417e+02  5.48574623e+01 -8.68695545e+01 
 1.17302409e+02  5.46599626e+01 -8.68176265e+01 
 1.20007371e+02  5.44624865e+01 -8.67640506e+01 
 1.22774708e+02  5.42650350e+01 -8.67087999e+01 
 1.25605860e+02  5.40676094e+01 -8.66518535e+01 
 1.28502297e+02  5.38702109e+01 -8.65931844e+01 
 1.31465525e+02  5.36728408e+01 -8.65327492e+01 
 1.34497085e+02  5.34755005e+01 -8.64705317e+01 
 1.37598551e+02  5.32781911e+01 -8.64064928e+01 
 1.40771537e+02  5.30809145e+01 -8.63406084e+01 
 1.44017690e+02  5.28836720e+01 -8.62728342e+01 
 1.47338699e+02  5.26864652e+01 -8.62031440e+01 
 1.50736290e+02  5.24892958e+01 -8.61315030e+01 
 1.54212228e+02  5.22921653e+01 -8.60578669e+01 
 1.57768320e+02  5.20950760e+01 -8.59822098e+01 
 1.61406415e+02  5.18980297e+01 -8.59044923e+01 
 1.65128404e+02  5.17010281e+01 -8.58246647e+01 
 1.68936220e+02  5.15040736e+01 -8.57427021e+01 
 1.72831844e+02  5.13071682e+01 -8.56585533e+01 
 1.76817299e+02  5.11103142e+01 -8.55721905e+01 
 1.80894658e+02  5.09135139e+01 -8.54835532e+01 
 1.85066040e+02  5.07167701e+01 -8.53926061e+01 
 1.89333613e+02  5.05200853e+01 -8.52993047e+01 
 1.93699595e+02  5.03234622e+01 -8.52036037e+01 
 1.98166255e+02  5.01269036e+01 -8.51054604e+01 
 2.02735916e+02  4.99304123e+01 -8.50048208e+01 
 2.07410951e+02  4.97339920e+01 -8.49016352e+01 
 2.12193792e+02  4.95376454e+01 -8.47958591e+01 
 2.17086923e+02  4.93413761e+01 -8.46874392e+01 
 2.22092889e+02  4.91451876e+01 -8.45763235e+01 
 2.27214291e+02  4.89490836e+01 -8.44624559e+01 
