 frequency       v(L_dB)         v(L_arg)        v(Tmb_dB)       v(Tmb_arg)      v(Ttian_dB)     v(Ttian_arg)   
 2.37814113e-01  3.89140870e+01  1.27951997e+02  3.61555896e+01  3.37709733e+01  3.61547016e+01  3.37728838e+01 
 2.43298042e-01  3.92237294e+01  1.28543806e+02  3.62314893e+01  3.43043869e+01  3.62306034e+01  3.43062761e+01 
 2.48908429e-01  3.95373462e+01  1.29138541e+02  3.63094926e+01  3.48385140e+01  3.63086087e+01  3.48403825e+01 
 2.54648190e-01  3.98550600e+01  1.29735853e+02  3.63896169e+01  3.53729961e+01  3.63887349e+01  3.53748448e+01 
 2.60520309e-01  4.01769980e+01  1.30335384e+02  3.64718773e+01  3.59074671e+01  3.64709971e+01  3.59092967e+01 
 2.66527837e-01  4.05032923e+01  1.30936764e+02  3.65562868e+01  3.64415534e+01  3.65554084e+01  3.64433647e+01 
 2.72673897e-01  4.08340808e+01  1.31539617e+02  3.66428561e+01  3.69748750e+01  3.66419795e+01  3.69766688e+01 
 2.78961683e-01  4.11695074e+01  1.32143557e+02  3.67315936e+01  3.75070461e+01  3.67307187e+01  3.75088232e+01 
 2.85394464e-01  4.15097229e+01  1.32748190e+02  3.68225054e+01  3.80376761e+01  3.68216322e+01  3.80394372e+01 
 2.91975583e-01  4.18548854e+01  1.33353113e+02  3.69155950e+01  3.85663701e+01  3.69147233e+01  3.85681161e+01 
 2.98708461e-01  4.22051618e+01  1.33957919e+02  3.70108634e+01  3.90927301e+01  3.70099933e+01  3.90944617e+01 
 3.05596598e-01  4.25607275e+01  1.34562192e+02  3.71083094e+01  3.96163556e+01  3.71074409e+01  3.96180736e+01 
 3.12643573e-01  4.29217687e+01  1.35165508e+02  3.72079291e+01  4.01368445e+01  3.72070620e+01  4.01385497e+01 
 3.19853049e-01  4.32884833e+01  1.35767438e+02  3.73097160e+01  4.06537943e+01  3.73088505e+01  4.06554874e+01 
 3.27228774e-01  4.36610817e+01  1.36367546e+02  3.74136614e+01  4.11668023e+01  3.74127973e+01  4.11684842e+01 
 3.34774581e-01  4.40397887e+01  1.36965390e+02  3.75197538e+01  4.16754672e+01  3.75188911e+01  4.16771385e+01 
 3.42494392e-01  4.44248450e+01  1.37560519e+02  3.76279794e+01  4.21793894e+01  3.76271181e+01  4.21810510e+01 
 3.50392221e-01  4.48165095e+01  1.38152476e+02  3.77383219e+01  4.26781720e+01  3.77374620e+01  4.26798246e+01 
 3.58472171e-01  4.52150613e+01  1.38740796e+02  3.78507627e+01  4.31714218e+01  3.78499041e+01  4.31730662e+01 
 3.66738442e-01  4.56208017e+01  1.39325005e+02  3.79652808e+01  4.36587497e+01  3.79644235e+01  4.36603866e+01 
 3.75195331e-01  4.60340577e+01  1.39904618e+02  3.80818528e+01  4.41397718e+01  3.80809969e+01  4.41414020e+01 
 3.83847234e-01  4.64551851e+01  1.40479138e+02  3.82004532e+01  4.46141098e+01  3.81995986e+01  4.46157341e+01 
 3.92698648e-01  4.68845718e+01  1.41048055e+02  3.83210544e+01  4.50813920e+01  3.83202010e+01  4.50830111e+01 
 4.01754173e-01  4.73226426e+01  1.41610840e+02  3.84436264e+01  4.55412536e+01  3.84427744e+01  4.55428683e+01 
 4.11018515e-01  4.77698639e+01  1.42166947e+02  3.85681376e+01  4.59933375e+01  3.85672869e+01  4.59949485e+01 
 4.20496491e-01  4.82267492e+01  1.42715802e+02  3.86945542e+01  4.64372945e+01  3.86937048e+01  4.64389026e+01 
 4.30193027e-01  4.86938663e+01  1.43256804e+02  3.88228407e+01  4.68727844e+01  3.88219926e+01  4.68743903e+01 
 4.40113162e-01  4.91718446e+01  1.43789315e+02  3.89529598e+01  4.72994758e+01  3.89521129e+01  4.73010803e+01 
 4.50262052e-01  4.96613847e+01  1.44312651e+02  3.90848725e+01  4.77170468e+01  3.90840270e+01  4.77186506e+01 
 4.60644974e-01  5.01632691e+01  1.44826075e+02  3.92185384e+01  4.81251852e+01  3.92176942e+01  4.81267891e+01 
 4.71267322e-01  5.06783755e+01  1.45328781e+02  3.93539155e+01  4.85235891e+01  3.93530726e+01  4.85251937e+01 
 4.82134619e-01  5.12076922e+01  1.45819882e+02  3.94909605e+01  4.89119665e+01  3.94901190e+01  4.89135726e+01 
 4.93252513e-01  5.17523372e+01  1.46298384e+02  3.96296290e+01  4.92900360e+01  3.96287888e+01  4.92916444e+01 
 5.04626783e-01  5.23135808e+01  1.46763167e+02  3.97698750e+01  4.96575269e+01  3.97690362e+01  4.96591383e+01 
 5.16263340e-01  5.28928746e+01  1.47212945e+02  3.99116519e+01  5.00141791e+01  3.99108145e+01  5.00157942e+01 
 5.28168234e-01  5.34918862e+01  1.47646228e+02  4.00549118e+01  5.03597432e+01  4.00540759e+01  5.03613626e+01 
