 time            v(clk)          v(vinp)         v(vinn)         v(vs)           v(vcpp)         v(vcpn)         v(voutp_comp)   v(voutn_comp)   v(vout)        
 4.68786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.12602729e-01  1.31740754e+00  1.30001779e+00 -1.18016877e-01 -1.17550586e-01 -1.84802734e-07 
 4.72786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.14225724e-01  1.31621388e+00  1.29868030e+00 -1.17983570e-01 -1.17538412e-01  4.50911056e-07 
 4.76786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.14766808e-01  1.31503700e+00  1.29736142e+00 -1.17999150e-01 -1.17576481e-01 -1.72481711e-07 
 4.80786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.16346921e-01  1.31388108e+00  1.29606491e+00 -1.17956757e-01 -1.17557889e-01  4.38838401e-07 
 4.84786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.16869179e-01  1.31274104e+00  1.29478603e+00 -1.17961854e-01 -1.17588199e-01 -1.60652414e-07 
 4.88786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.18408083e-01  1.31162103e+00  1.29352853e+00 -1.17910233e-01 -1.17563158e-01  4.27247620e-07 
 4.92786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.18912583e-01  1.31051606e+00  1.29228773e+00 -1.17904753e-01 -1.17585727e-01 -1.49295342e-07 
 4.96786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.20411857e-01  1.30943024e+00  1.29106739e+00 -1.17843754e-01 -1.17554201e-01  4.16119587e-07 
 5.00786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.20899596e-01  1.30835867e+00  1.28986288e+00 -1.17827595e-01 -1.17569041e-01 -1.38391702e-07 
 5.04786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.22360735e-01  1.30730544e+00  1.28867796e+00 -1.17757063e-01 -1.17530989e-01  4.05435812e-07 
 5.08786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  2.22832640e-01  1.30626572e+00  1.28750807e+00 -1.17730117e-01 -1.17538104e-01 -1.27923361e-07 
