 frequency       v(Tmb_dB)       v(Tmb_arg)     
 6.94359143e+00  5.36395814e+01  1.61476075e+01 
 7.10370877e+00  5.36705028e+01  1.55804142e+01 
 7.26751838e+00  5.37000964e+01  1.50163432e+01 
 7.43510539e+00  5.37283951e+01  1.44553797e+01 
 7.60655691e+00  5.37554308e+01  1.38974984e+01 
 7.78196206e+00  5.37812347e+01  1.33426639e+01 
 7.96141200e+00  5.38058375e+01  1.27908316e+01 
 8.14500001e+00  5.38292687e+01  1.22419476e+01 
 8.33282151e+00  5.38515572e+01  1.16959490e+01 
 8.52497412e+00  5.38727310e+01  1.11527646e+01 
 8.72155772e+00  5.38928172e+01  1.06123152e+01 
 8.92267449e+00  5.39118417e+01  1.00745141e+01 
 9.12842895e+00  5.39298297e+01  9.53926704e+00 
 9.33892805e+00  5.39468052e+01  9.00647303e+00 
 9.55428121e+00  5.39627913e+01  8.47602459e+00 
 9.77460036e+00  5.39778099e+01  7.94780798e+00 
 1.00000000e+01  5.39918819e+01  7.42170375e+00 
 1.02305973e+01  5.40050271e+01  6.89758691e+00 
 1.04665121e+01  5.40172642e+01  6.37532748e+00 
 1.07078670e+01  5.40286108e+01  5.85479057e+00 
 1.09547876e+01  5.40390833e+01  5.33583703e+00 
 1.12074020e+01  5.40486969e+01  4.81832331e+00 
 1.14658417e+01  5.40574659e+01  4.30210229e+00 
 1.17302409e+01  5.40654033e+01  3.78702318e+00 
 1.20007371e+01  5.40725208e+01  3.27293211e+00 
 1.22774708e+01  5.40788292e+01  2.75967218e+00 
 1.25605860e+01  5.40843379e+01  2.24708401e+00 
 1.28502297e+01  5.40890553e+01  1.73500560e+00 
 1.31465525e+01  5.40929886e+01  1.22327324e+00 
 1.34497085e+01  5.40961436e+01  7.11720998e-01 
 1.37598551e+01  5.40985254e+01  2.00181780e-01 
 1.40771537e+01  5.41001373e+01 -3.11513003e-01 
 1.44017690e+01  5.41009820e+01 -8.23532933e-01 
 1.47338699e+01  5.41010606e+01 -1.33604830e+00 
 1.50736290e+01  5.41003732e+01 -1.84922993e+00 
 1.54212228e+01  5.40989187e+01 -2.36324880e+00 
 1.57768320e+01  5.40966949e+01 -2.87827603e+00 
 1.61406415e+01  5.40936982e+01 -3.39448231e+00 
 1.65128404e+01  5.40899240e+01 -3.91203798e+00 
 1.68936220e+01  5.40853665e+01 -4.43111244e+00 
 1.72831844e+01  5.40800187e+01 -4.95187408e+00 
 1.76817299e+01  5.40738723e+01 -5.47448997e+00 
 1.80894658e+01  5.40669179e+01 -5.99912561e+00 
 1.85066040e+01  5.40591451e+01 -6.52594460e+00 
 1.89333613e+01  5.40505421e+01 -7.05510844e+00 
 1.93699595e+01  5.40410959e+01 -7.58677612e+00 
 1.98166255e+01  5.40307926e+01 -8.12110399e+00 
 2.02735916e+01  5.40196169e+01 -8.65824532e+00 
 2.07410951e+01  5.40075525e+01 -9.19834996e+00 
 2.12193792e+01  5.39945817e+01 -9.74156432e+00 
 2.17086923e+01  5.39806860e+01 -1.02880308e+01 
 2.22092889e+01  5.39658456e+01 -1.08378873e+01 
 2.27214291e+01  5.39500396e+01 -1.13912672e+01 
 2.32453791e+01  5.39332460e+01 -1.19482992e+01 
 2.37814113e+01  5.39154417e+01 -1.25091062e+01 
 2.43298042e+01  5.38966025e+01 -1.30738058e+01 
 2.48908429e+01  5.38767033e+01 -1.36425093e+01 
 2.54648190e+01  5.38557180e+01 -1.42153220e+01 
 2.60520309e+01  5.38336192e+01 -1.47923419e+01 
 2.66527837e+01  5.38103788e+01 -1.53736603e+01 
 2.72673897e+01  5.37859677e+01 -1.59593607e+01 
 2.78961683e+01  5.37603560e+01 -1.65495189e+01 
 2.85394464e+01  5.37335128e+01 -1.71442024e+01 
 2.91975583e+01  5.37054064e+01 -1.77434698e+01 
 2.98708461e+01  5.36760045e+01 -1.83473711e+01 
 3.05596598e+01  5.36452739e+01 -1.89559465e+01 
 3.12643573e+01  5.36131809e+01 -1.95692267e+01 
 3.19853049e+01  5.35796910e+01 -2.01872322e+01 
 3.27228774e+01  5.35447693e+01 -2.08099730e+01 
 3.34774581e+01  5.35083805e+01 -2.14374484e+01 
 3.42494392e+01  5.34704889e+01 -2.20696466e+01 
 3.50392221e+01  5.34310582e+01 -2.27065444e+01 
 3.58472171e+01  5.33900523e+01 -2.33481069e+01 
 3.66738442e+01  5.33474347e+01 -2.39942875e+01 
 3.75195331e+01  5.33031689e+01 -2.46450272e+01 
 3.83847234e+01  5.32572185e+01 -2.53002550e+01 
 3.92698648e+01  5.32095470e+01 -2.59598872e+01 
 4.01754173e+01  5.31601184e+01 -2.66238276e+01 
 4.11018515e+01  5.31088971e+01 -2.72919675e+01 
 4.20496491e+01  5.30558476e+01 -2.79641854e+01 
 4.30193027e+01  5.30009354e+01 -2.86403471e+01 
 4.40113162e+01  5.29441262e+01 -2.93203058e+01 
 4.50262052e+01  5.28853869e+01 -3.00039022e+01 
 4.60644974e+01  5.28246850e+01 -3.06909646e+01 
 4.71267322e+01  5.27619893e+01 -3.13813094e+01 
 4.82134619e+01  5.26972694e+01 -3.20747409e+01 
 4.93252513e+01  5.26304964e+01 -3.27710516e+01 
 5.04626783e+01  5.25616426e+01 -3.34700232e+01 
 5.16263340e+01  5.24906817e+01 -3.41714262e+01 
 5.28168234e+01  5.24175891e+01 -3.48750211e+01 
 5.40347650e+01  5.23423418e+01 -3.55805585e+01 
 5.52807921e+01  5.22649186e+01 -3.62877798e+01 
 5.65555523e+01  5.21852999e+01 -3.69964176e+01 
 5.78597080e+01  5.21034684e+01 -3.77061966e+01 
 5.91939372e+01  5.20194084e+01 -3.84168345e+01 
 6.05589334e+01  5.19331065e+01 -3.91280424e+01 
 6.19554061e+01  5.18445514e+01 -3.98395255e+01 
 6.33840810e+01  5.17537340e+01 -4.05509844e+01 
 6.48457008e+01  5.16606474e+01 -4.12621156e+01 
 6.63410251e+01  5.15652869e+01 -4.19726122e+01 
 6.78708313e+01  5.14676500e+01 -4.26821651e+01 
 6.94359143e+01  5.13677368e+01 -4.33904641e+01 
 7.10370877e+01  5.12655495e+01 -4.40971980e+01 
 7.26751838e+01  5.11610927e+01 -4.48020563e+01 
 7.43510539e+01  5.10543730e+01 -4.55047296e+01 
 7.60655691e+01  5.09453996e+01 -4.62049105e+01 
 7.78196206e+01  5.08341839e+01 -4.69022949e+01 
 7.96141200e+01  5.07207392e+01 -4.75965823e+01 
 8.14500001e+01  5.06050814e+01 -4.82874769e+01 
 8.33282151e+01  5.04872280e+01 -4.89746882e+01 
 8.52497412e+01  5.03671988e+01 -4.96579321e+01 
 8.72155772e+01  5.02450155e+01 -5.03369311e+01 
 8.92267449e+01  5.01207016e+01 -5.10114152e+01 
 9.12842895e+01  4.99942825e+01 -5.16811227e+01 
 9.33892805e+01  4.98657851e+01 -5.23458002e+01 
 9.55428121e+01  4.97352379e+01 -5.30052041e+01 
 9.77460036e+01  4.96026712e+01 -5.36591000e+01 
 1.00000000e+02  4.94681162e+01 -5.43072637e+01 
 1.02305973e+02  4.93316057e+01 -5.49494814e+01 
 1.04665121e+02  4.91931737e+01 -5.55855500e+01 
 1.07078670e+02  4.90528549e+01 -5.62152771e+01 
 1.09547876e+02  4.89106855e+01 -5.68384818e+01 
 1.12074020e+02  4.87667020e+01 -5.74549944e+01 
 1.14658417e+02  4.86209421e+01 -5.80646566e+01 
 1.17302409e+02  4.84734437e+01 -5.86673212e+01 
 1.20007371e+02  4.83242455e+01 -5.92628526e+01 
 1.22774708e+02  4.81733867e+01 -5.98511268e+01 
 1.25605860e+02  4.80209066e+01 -6.04320310e+01 
 1.28502297e+02  4.78668449e+01 -6.10054635e+01 
 1.31465525e+02  4.77112414e+01 -6.15713335e+01 
 1.34497085e+02  4.75541358e+01 -6.21295612e+01 
 1.37598551e+02  4.73955681e+01 -6.26800770e+01 
 1.40771537e+02  4.72355779e+01 -6.32228221e+01 
 1.44017690e+02  4.70742047e+01 -6.37577476e+01 
 1.47338699e+02  4.69114879e+01 -6.42848141e+01 
 1.50736290e+02  4.67474664e+01 -6.48039921e+01 
 1.54212228e+02  4.65821787e+01 -6.53152609e+01 
 1.57768320e+02  4.64156631e+01 -6.58186085e+01 
 1.61406415e+02  4.62479573e+01 -6.63140318e+01 
 1.65128404e+02  4.60790984e+01 -6.68015354e+01 
