 time            v(Vcmfb)        v(Voutp)        v(Voutn)       
 4.00143463e-05  8.05788634e-01  6.00000000e-01  8.00000000e-01 
 4.00266403e-05  8.05794831e-01  6.00000000e-01  8.00000000e-01 
 4.00512284e-05  8.05788643e-01  6.00000000e-01  8.00000000e-01 
 4.01004044e-05  8.05795128e-01  6.00000000e-01  8.00000000e-01 
 4.01987565e-05  8.05789121e-01  6.00000000e-01  8.00000000e-01 
 4.03954606e-05  8.05796151e-01  6.00000000e-01  8.00000000e-01 
 4.07888689e-05  8.05791147e-01  6.00000000e-01  8.00000000e-01 
 4.15756855e-05  8.05800225e-01  6.00000000e-01  8.00000000e-01 
 4.31493186e-05  8.05799295e-01  6.00000000e-01  8.00000000e-01 
 4.62965849e-05  8.05816529e-01  6.00000000e-01  8.00000000e-01 
 4.78750100e-05  8.05815615e-01  6.00000000e-01  8.00000000e-01 
 4.78750110e-05  8.05346901e-01  6.00000000e-01  8.00000000e-01 
 4.78750130e-05  8.04551645e-01  6.00000000e-01  8.00000000e-01 
 4.78750170e-05  8.03488522e-01  6.00000000e-01  8.00000000e-01 
 4.78750200e-05  8.02820562e-01  6.00000000e-01  8.00000000e-01 
 4.78750205e-05  8.02801251e-01  6.00000000e-01  8.00000000e-01 
 4.78750214e-05  8.02779774e-01  6.00000000e-01  8.00000000e-01 
 4.78750232e-05  8.02745470e-01  6.00000000e-01  8.00000000e-01 
 4.78750268e-05  8.02678326e-01  6.00000000e-01  8.00000000e-01 
 4.78750340e-05  8.02575832e-01  6.00000000e-01  8.00000000e-01 
 4.78750485e-05  8.02473041e-01  6.00000000e-01  8.00000000e-01 
 4.78750775e-05  8.02607265e-01  6.00000000e-01  8.00000000e-01 
 4.78751355e-05  8.03438726e-01  6.00000000e-01  8.00000000e-01 
 4.78751946e-05  8.03814826e-01  6.00000000e-01  8.00000000e-01 
 4.78752801e-05  8.04016565e-01  6.00000000e-01  8.00000000e-01 
 4.78753850e-05  8.04061145e-01  6.00000000e-01  8.00000000e-01 
 4.78755492e-05  8.04061496e-01  6.00000000e-01  8.00000000e-01 
 4.78756971e-05  8.04061983e-01  6.00000000e-01  8.00000000e-01 
 4.78759928e-05  8.04061325e-01  6.00000000e-01  8.00000000e-01 
 4.78765842e-05  8.04062003e-01  6.00000000e-01  8.00000000e-01 
 4.78777669e-05  8.04061319e-01  6.00000000e-01  8.00000000e-01 
 4.78801324e-05  8.04062005e-01  6.00000000e-01  8.00000000e-01 
 4.78848634e-05  8.04061318e-01  6.00000000e-01  8.00000000e-01 
