 v-sweep         v(vinp)         v(voutp)       
 4.49000000e-01  4.49000000e-01  1.25235978e+00 
 4.50000000e-01  4.50000000e-01  1.25263724e+00 
 4.51000000e-01  4.51000000e-01  1.25293720e+00 
 4.52000000e-01  4.52000000e-01  1.25321892e+00 
 4.53000000e-01  4.53000000e-01  1.25348226e+00 
 4.54000000e-01  4.54000000e-01  1.25376066e+00 
 4.55000000e-01  4.55000000e-01  1.25399996e+00 
 4.56000000e-01  4.56000000e-01  1.25430295e+00 
 4.57000000e-01  4.57000000e-01  1.25458101e+00 
 4.58000000e-01  4.58000000e-01  1.25485308e+00 
 4.59000000e-01  4.59000000e-01  1.25510406e+00 
 4.60000000e-01  4.60000000e-01  1.25534260e+00 
 4.61000000e-01  4.61000000e-01  1.25557935e+00 
 4.62000000e-01  4.62000000e-01  1.25584080e+00 
 4.63000000e-01  4.63000000e-01  1.25606241e+00 
 4.64000000e-01  4.64000000e-01  1.25633745e+00 
 4.65000000e-01  4.65000000e-01  1.25656864e+00 
 4.66000000e-01  4.66000000e-01  1.25681614e+00 
 4.67000000e-01  4.67000000e-01  1.25702438e+00 
 4.68000000e-01  4.68000000e-01  1.25723447e+00 
 4.69000000e-01  4.69000000e-01  1.25744316e+00 
 4.70000000e-01  4.70000000e-01  1.25771721e+00 
 4.71000000e-01  4.71000000e-01  1.25792710e+00 
 4.72000000e-01  4.72000000e-01  1.25815496e+00 
 4.73000000e-01  4.73000000e-01  1.25838587e+00 
 4.74000000e-01  4.74000000e-01  1.25857669e+00 
 4.75000000e-01  4.75000000e-01  1.25880402e+00 
 4.76000000e-01  4.76000000e-01  1.25900769e+00 
 4.77000000e-01  4.77000000e-01  1.25920985e+00 
