 time            v(clk)          v(voutp)        v(voutn)        v(vinp)         v(vinn)        
 1.91049011e-07  0.00000000e+00 -5.48564449e-04 -5.50641748e-04  7.25945245e-01  7.50000000e-01 
 1.91803932e-07  0.00000000e+00 -1.38995109e-04 -1.45258483e-04  7.25949020e-01  7.50000000e-01 
 1.92601314e-07  0.00000000e+00 -1.66426780e-05 -1.67854766e-05  7.25953007e-01  7.50000000e-01 
 1.93556600e-07  0.00000000e+00 -1.06944307e-05 -1.07776779e-05  7.25957783e-01  7.50000000e-01 
 1.94755395e-07  0.00000000e+00 -3.35876352e-06 -3.43002801e-06  7.25963777e-01  7.50000000e-01 
 1.96811660e-07  0.00000000e+00  6.48896101e-07  6.38305719e-07  7.25974058e-01  7.50000000e-01 
 2.00924190e-07  0.00000000e+00  7.32656667e-07  7.38987158e-07  7.25994621e-01  7.50000000e-01 
 2.08219527e-07  0.00000000e+00  2.03200671e-07  2.04901390e-07  7.26031098e-01  7.50000000e-01 
 2.22642492e-07  0.00000000e+00  1.24266411e-07  1.24165312e-07  7.26103212e-01  7.50000000e-01 
 2.51488421e-07  0.00000000e+00  1.40285270e-07  1.40242862e-07  7.26247442e-01  7.50000000e-01 
 2.52000000e-07  0.00000000e+00  1.41393111e-07  1.41374013e-07  7.26250000e-01  7.50000000e-01 
 2.52001000e-07  1.50000000e-01 -7.15102461e-03 -7.15102440e-03  7.26250005e-01  7.50000000e-01 
 2.52003000e-07  4.50000000e-01 -2.26178907e-02 -2.26178904e-02  7.26250015e-01  7.50000000e-01 
 2.52007000e-07  1.05000000e+00 -5.48344526e-02 -5.48344530e-02  7.26250035e-01  7.50000000e-01 
 2.52010000e-07  1.50000000e+00 -7.28689088e-02 -7.28689194e-02  7.26250050e-01  7.50000000e-01 
 2.52010614e-07  1.50000000e+00 -7.32866664e-02 -7.32866898e-02  7.26250053e-01  7.50000000e-01 
 2.52011842e-07  1.50000000e+00 -7.32215137e-02 -7.32216172e-02  7.26250059e-01  7.50000000e-01 
 2.52014299e-07  1.50000000e+00 -7.29413195e-02 -7.29422631e-02  7.26250071e-01  7.50000000e-01 
 2.52019212e-07  1.50000000e+00 -7.28056088e-02 -7.28100234e-02  7.26250096e-01  7.50000000e-01 
 2.52026127e-07  1.50000000e+00 -7.28490372e-02 -7.28597911e-02  7.26250131e-01  7.50000000e-01 
 2.52037278e-07  1.50000000e+00 -7.29462619e-02 -7.29677407e-02  7.26250186e-01  7.50000000e-01 
 2.52059580e-07  1.50000000e+00 -7.30882971e-02 -7.31310250e-02  7.26250298e-01  7.50000000e-01 
 2.52104185e-07  1.50000000e+00 -7.33450861e-02 -7.34300612e-02  7.26250521e-01  7.50000000e-01 
 2.52193395e-07  1.50000000e+00 -7.38595915e-02 -7.40290262e-02  7.26250967e-01  7.50000000e-01 
 2.52371814e-07  1.50000000e+00 -7.48886558e-02 -7.52263492e-02  7.26251859e-01  7.50000000e-01 
 2.52728652e-07  1.50000000e+00 -7.69275079e-02 -7.75890727e-02  7.26253643e-01  7.50000000e-01 
 2.53442328e-07  1.50000000e+00 -8.03081053e-02 -8.06386536e-02  7.26257212e-01  7.50000000e-01 
 2.54097016e-07  1.50000000e+00 -7.49964355e-02 -5.69237923e-02  7.26260485e-01  7.50000000e-01 
 2.54663686e-07  1.50000000e+00 -2.74576191e-02  7.81992981e-02  7.26263318e-01  7.50000000e-01 
 2.55260741e-07  1.50000000e+00  1.24166187e-01  4.71018037e-01  7.26266304e-01  7.50000000e-01 
 2.55683022e-07  1.50000000e+00  2.34710223e-02  9.04324928e-01  7.26268415e-01  7.50000000e-01 
 2.56070448e-07  1.50000000e+00  2.12136364e-03  1.36270188e+00  7.26270352e-01  7.50000000e-01 
 2.56408094e-07  1.50000000e+00  1.48933731e-04  1.49648204e+00  7.26272040e-01  7.50000000e-01 
 2.56761958e-07  1.50000000e+00 -1.01816985e-04  1.50659968e+00  7.26273810e-01  7.50000000e-01 
 2.57273176e-07  1.50000000e+00 -2.53159399e-05  1.50064537e+00  7.26276366e-01  7.50000000e-01 
 2.57752927e-07  1.50000000e+00  2.04300937e-05  1.49916746e+00  7.26278765e-01  7.50000000e-01 
 2.58712430e-07  1.50000000e+00  3.39210708e-05  1.49923389e+00  7.26283562e-01  7.50000000e-01 
 2.60631434e-07  1.50000000e+00  3.40367921e-05  1.49945883e+00  7.26293157e-01  7.50000000e-01 
 2.62230091e-07  1.50000000e+00  2.78045145e-05  1.49966853e+00  7.26301150e-01  7.50000000e-01 
 2.63962193e-07  1.50000000e+00  2.31305936e-05  1.49988648e+00  7.26309811e-01  7.50000000e-01 
 2.64659939e-07  1.50000000e+00  2.30860825e-05  1.49992894e+00  7.26313300e-01  7.50000000e-01 
 2.65384544e-07  1.50000000e+00  2.14366095e-05  1.49995437e+00  7.26316923e-01  7.50000000e-01 
 2.66165591e-07  1.50000000e+00  1.83623304e-05  1.49997137e+00  7.26320828e-01  7.50000000e-01 
 2.67039924e-07  1.50000000e+00  1.48596287e-05  1.49998279e+00  7.26325200e-01  7.50000000e-01 
 2.67880977e-07  1.50000000e+00  1.19510320e-05  1.49998889e+00  7.26329405e-01  7.50000000e-01 
 2.68983285e-07  1.50000000e+00  9.17290700e-06  1.49999286e+00  7.26334916e-01  7.50000000e-01 
 2.70312519e-07  1.50000000e+00  7.00509861e-06  1.49999486e+00  7.26341563e-01  7.50000000e-01 
 2.72461670e-07  1.50000000e+00  5.00667310e-06  1.49999612e+00  7.26352308e-01  7.50000000e-01 
 2.76078057e-07  1.50000000e+00  3.37155137e-06  1.49999708e+00  7.26370390e-01  7.50000000e-01 
 2.83310830e-07  1.50000000e+00  2.02864019e-06  1.49999805e+00  7.26406554e-01  7.50000000e-01 
