 frequency       v(PSRR_dB)     
 1.76817299e+04  5.78546294e+01 
 1.80894658e+04  5.78898941e+01 
 1.85066040e+04  5.79229752e+01 
 1.89333613e+04  5.79543952e+01 
 1.93699595e+04  5.79837872e+01 
 1.98166255e+04  5.80113067e+01 
 2.02735916e+04  5.80366674e+01 
 2.07410951e+04  5.80600165e+01 
 2.12193792e+04  5.80812829e+01 
 2.17086923e+04  5.81002710e+01 
 2.22092889e+04  5.81172263e+01 
 2.27214291e+04  5.81321714e+01 
 2.32453791e+04  5.81447957e+01 
 2.37814113e+04  5.81553748e+01 
 2.43298042e+04  5.81636660e+01 
 2.48908429e+04  5.81696746e+01 
 2.54648190e+04  5.81735838e+01 
 2.60520309e+04  5.81752892e+01 
 2.66527837e+04  5.81746768e+01 
 2.72673897e+04  5.81720706e+01 
 2.78961683e+04  5.81671893e+01 
 2.85394464e+04  5.81601099e+01 
 2.91975583e+04  5.81509202e+01 
 2.98708461e+04  5.81397158e+01 
 3.05596598e+04  5.81262728e+01 
 3.12643573e+04  5.81108953e+01 
 3.19853049e+04  5.80934042e+01 
 3.27228774e+04  5.80740213e+01 
 3.34774581e+04  5.80526019e+01 
 3.42494392e+04  5.80292895e+01 
 3.50392221e+04  5.80041895e+01 
 3.58472171e+04  5.79772210e+01 
 3.66738442e+04  5.79485950e+01 
 3.75195331e+04  5.79182221e+01 
 3.83847234e+04  5.78861794e+01 
 3.92698648e+04  5.78525878e+01 
 4.01754173e+04  5.78174125e+01 
 4.11018515e+04  5.77809018e+01 
 4.20496491e+04  5.77429523e+01 
 4.30193027e+04  5.77036884e+01 
 4.40113162e+04  5.76631924e+01 
 4.50262052e+04  5.76215116e+01 
 4.60644974e+04  5.75787238e+01 
 4.71267322e+04  5.75349228e+01 
 4.82134619e+04  5.74901835e+01 
 4.93252513e+04  5.74445532e+01 
 5.04626783e+04  5.73981799e+01 
 5.16263340e+04  5.73510485e+01 
 5.28168234e+04  5.73032620e+01 
 5.40347650e+04  5.72549476e+01 
 5.52807921e+04  5.72061261e+01 
 5.65555523e+04  5.71569043e+01 
 5.78597080e+04  5.71073451e+01 
 5.91939372e+04  5.70575388e+01 
 6.05589334e+04  5.70075422e+01 
 6.19554061e+04  5.69574178e+01 
 6.33840810e+04  5.69072368e+01 
 6.48457008e+04  5.68571124e+01 
 6.63410251e+04  5.68070480e+01 
 6.78708313e+04  5.67571623e+01 
 6.94359143e+04  5.67074705e+01 
 7.10370877e+04  5.66580697e+01 
 7.26751838e+04  5.66089879e+01 
 7.43510539e+04  5.65603059e+01 
 7.60655691e+04  5.65120576e+01 
 7.78196206e+04  5.64643097e+01 
 7.96141200e+04  5.64170824e+01 
 8.14500001e+04  5.63704492e+01 
 8.33282151e+04  5.63244221e+01 
 8.52497412e+04  5.62790647e+01 
 8.72155772e+04  5.62344004e+01 
 8.92267449e+04  5.61904513e+01 
 9.12842895e+04  5.61472645e+01 
 9.33892805e+04  5.61048601e+01 
 9.55428121e+04  5.60632594e+01 
 9.77460036e+04  5.60224842e+01 
 1.00000000e+05  5.59825563e+01 
 1.02305973e+05  5.59434846e+01 
 1.04665121e+05  5.59052899e+01 
 1.07078670e+05  5.58679767e+01 
 1.09547876e+05  5.58315559e+01 
 1.12074020e+05  5.57960389e+01 
 1.14658417e+05  5.57614237e+01 
 1.17302409e+05  5.57277166e+01 
 1.20007371e+05  5.56949130e+01 
 1.22774708e+05  5.56630203e+01 
 1.25605860e+05  5.56320279e+01 
 1.28502297e+05  5.56019321e+01 
 1.31465525e+05  5.55727354e+01 
 1.34497085e+05  5.55444232e+01 
 1.37598551e+05  5.55169857e+01 
 1.40771537e+05  5.54904220e+01 
 1.44017690e+05  5.54647163e+01 
 1.47338699e+05  5.54398596e+01 
 1.50736290e+05  5.54158404e+01 
 1.54212228e+05  5.53926471e+01 
 1.57768320e+05  5.53702667e+01 
 1.61406415e+05  5.53486853e+01 
 1.65128404e+05  5.53278944e+01 
 1.68936220e+05  5.53078749e+01 
 1.72831844e+05  5.52886165e+01 
 1.76817299e+05  5.52701033e+01 
 1.80894658e+05  5.52523255e+01 
 1.85066040e+05  5.52352663e+01 
 1.89333613e+05  5.52189133e+01 
 1.93699595e+05  5.52032551e+01 
 1.98166255e+05  5.51882761e+01 
 2.02735916e+05  5.51739658e+01 
 2.07410951e+05  5.51603116e+01 
