 frequency       v(Cinp)         v(Cinp)         v(Cinn)         v(Cinn)        
 3.92698648e+02  1.25868389e-15  0.00000000e+00  1.00897799e-14  0.00000000e+00 
 4.01754173e+02  1.25752540e-15  0.00000000e+00  9.86379875e-15  0.00000000e+00 
 4.11018515e+02  1.25646029e-15  0.00000000e+00  9.64310043e-15  0.00000000e+00 
 4.20496491e+02  1.25548173e-15  0.00000000e+00  9.42757257e-15  0.00000000e+00 
 4.30193027e+02  1.25458278e-15  0.00000000e+00  9.21710120e-15  0.00000000e+00 
 4.40113162e+02  1.25375771e-15  0.00000000e+00  9.01157608e-15  0.00000000e+00 
 4.50262052e+02  1.25300083e-15  0.00000000e+00  8.81088814e-15  0.00000000e+00 
 4.60644974e+02  1.25230685e-15  0.00000000e+00  8.61493071e-15  0.00000000e+00 
 4.71267322e+02  1.25167085e-15  0.00000000e+00  8.42359832e-15  0.00000000e+00 
 4.82134619e+02  1.25108841e-15  0.00000000e+00  8.23678905e-15  0.00000000e+00 
 4.93252513e+02  1.25055542e-15  0.00000000e+00  8.05439991e-15  0.00000000e+00 
 5.04626783e+02  1.25006753e-15  0.00000000e+00  7.87633365e-15  0.00000000e+00 
 5.16263340e+02  1.24962164e-15  0.00000000e+00  7.70249257e-15  0.00000000e+00 
 5.28168234e+02  1.24921420e-15  0.00000000e+00  7.53278230e-15  0.00000000e+00 
 5.40347650e+02  1.24884198e-15  0.00000000e+00  7.36710865e-15  0.00000000e+00 
 5.52807921e+02  1.24850221e-15  0.00000000e+00  7.20538124e-15  0.00000000e+00 
 5.65555523e+02  1.24819219e-15  0.00000000e+00  7.04751133e-15  0.00000000e+00 
 5.78597080e+02  1.24790958e-15  0.00000000e+00  6.89341137e-15  0.00000000e+00 
 5.91939372e+02  1.24765207e-15  0.00000000e+00  6.74299686e-15  0.00000000e+00 
 6.05589334e+02  1.24741755e-15  0.00000000e+00  6.59618396e-15  0.00000000e+00 
 6.19554061e+02  1.24720407e-15  0.00000000e+00  6.45289140e-15  0.00000000e+00 
 6.33840810e+02  1.24700994e-15  0.00000000e+00  6.31304070e-15  0.00000000e+00 
 6.48457008e+02  1.24683341e-15  0.00000000e+00  6.17655401e-15  0.00000000e+00 
 6.63410251e+02  1.24667304e-15  0.00000000e+00  6.04335502e-15  0.00000000e+00 
 6.78708313e+02  1.24652758e-15  0.00000000e+00  5.91337050e-15  0.00000000e+00 
 6.94359143e+02  1.24639551e-15  0.00000000e+00  5.78652783e-15  0.00000000e+00 
 7.10370877e+02  1.24627585e-15  0.00000000e+00  5.66275694e-15  0.00000000e+00 
 7.26751838e+02  1.24616750e-15  0.00000000e+00  5.54198876e-15  0.00000000e+00 
 7.43510539e+02  1.24606941e-15  0.00000000e+00  5.42415626e-15  0.00000000e+00 
 7.60655691e+02  1.24598075e-15  0.00000000e+00  5.30919444e-15  0.00000000e+00 
 7.78196206e+02  1.24590062e-15  0.00000000e+00  5.19703915e-15  0.00000000e+00 
