time,a_1V5,x1t,b_3V3
2.265599319999999750e+01,1.500000000000000000e+00,1.402573449999999907e-07,3.299831249999999994e+00
2.275599319999999892e+01,1.500000000000000000e+00,9.355998320000000657e-08,3.299839889999999887e+00
2.285599320000000034e+01,1.500000000000000000e+00,1.280693889999999885e-07,3.299848079999999850e+00
2.295599319999999821e+01,1.500000000000000000e+00,8.249466980000000247e-08,3.299855850000000146e+00
2.305599319999999963e+01,1.500000000000000000e+00,1.170713949999999935e-07,3.299863230000000147e+00
2.315599320000000105e+01,1.500000000000000000e+00,7.255757470000000202e-08,3.299870219999999854e+00
2.325599320000000247e+01,1.500000000000000000e+00,1.071446749999999966e-07,3.299876859999999912e+00
2.335599320000000034e+01,1.500000000000000000e+00,6.363616029999999803e-08,3.299883159999999815e+00
2.345599319999999821e+01,1.500000000000000000e+00,9.818271799999999592e-08,3.299889139999999887e+00
2.355599319999999963e+01,1.500000000000000000e+00,5.562909159999999747e-08,3.299894810000000067e+00
2.365599320000000105e+01,1.500000000000000000e+00,9.008922150000000301e-08,3.299900189999999789e+00
2.375599319999999892e+01,1.500000000000000000e+00,4.844522260000000282e-08,3.299905299999999819e+00
2.385599320000000034e+01,1.500000000000000000e+00,8.277784880000000654e-08,3.299910150000000097e+00
2.395599320000000176e+01,1.500000000000000000e+00,4.200232930000000191e-08,3.299914740000000180e+00
2.405599320000000318e+01,1.500000000000000000e+00,7.617060680000000133e-08,3.299919109999999822e+00
2.415599319999999750e+01,1.500000000000000000e+00,3.622651769999999754e-08,3.299923240000000035e+00
2.425599319999999892e+01,1.500000000000000000e+00,7.019742949999999945e-08,3.299927170000000132e+00
2.435599320000000034e+01,1.500000000000000000e+00,3.105120059999999901e-08,3.299930900000000111e+00
2.445599319999999821e+01,1.500000000000000000e+00,6.479517000000000011e-08,3.299934429999999974e+00
2.455599319999999963e+01,1.500000000000000000e+00,2.641647610000000099e-08,3.299937789999999982e+00
2.465599320000000105e+01,1.500000000000000000e+00,5.990701320000000589e-08,3.299940970000000195e+00
2.475599320000000247e+01,1.500000000000000000e+00,2.226821290000000131e-08,3.299943990000000049e+00
