time,Vclk,Vs,Vcpp,Vcpn,Voutp,Voutn
4.768447679999999878e+01,1.500000000000000000e+00,-2.980113170000000192e-07,-1.876642990000000048e-06,-3.783689090000000320e-08,1.499998699999999907e+00,1.271110640000000050e-06
4.800447679999999906e+01,1.500000000000000000e+00,-2.936392390000000197e-07,-1.855865320000000078e-06,-3.340535299999999707e-08,1.499998699999999907e+00,1.260362719999999905e-06
4.832447680000000645e+01,1.500000000000000000e+00,-2.893569680000000046e-07,-1.835474790000000075e-06,-2.905810779999999916e-08,1.499998710000000068e+00,1.249809610000000007e-06
4.864447679999999963e+01,1.500000000000000000e+00,-2.851613869999999959e-07,-1.815460660000000044e-06,-2.479276760000000108e-08,1.499998720000000008e+00,1.239446049999999910e-06
4.896447679999999991e+01,1.500000000000000000e+00,-2.810495439999999791e-07,-1.795812599999999993e-06,-2.060703160000000064e-08,1.499998729999999947e+00,1.229266949999999996e-06
4.928447680000000020e+01,1.500000000000000000e+00,-2.770186350000000000e-07,-1.776520670000000077e-06,-1.649868560000000007e-08,1.499998740000000108e+00,1.219267410000000066e-06
4.960447680000000048e+01,1.500000000000000000e+00,-2.730659940000000227e-07,-1.757575249999999914e-06,-1.246559319999999995e-08,1.499998740000000108e+00,1.209442719999999976e-06
4.992447680000000076e+01,1.500000000000000000e+00,-2.691890919999999789e-07,-1.738967109999999906e-06,-8.505701669999999894e-09,1.499998750000000047e+00,1.199788290000000016e-06
5.024447680000000105e+01,1.500000000000000000e+00,-2.653855160000000094e-07,-1.720687299999999984e-06,-4.617030449999999863e-09,1.499998759999999987e+00,1.190299750000000004e-06
5.056447680000000133e+01,1.500000000000000000e+00,-2.616529740000000054e-07,-1.702727210000000045e-06,-7.976655419999999696e-10,1.499998769999999926e+00,1.180972839999999945e-06
