time,Vclk,Vs,Vctail,Vcpp,Vcpn,Voutp,Voutn
2.718273050000000168e+01,1.500000000000000000e+00,3.449579930000000183e-01,3.441245459999999756e-01,1.186093129999999940e+00,1.146133569999999935e+00,4.675283049999999774e-01,9.874517439999999646e-02
2.750273049999999841e+01,1.500000000000000000e+00,3.454842300000000033e-01,3.446632319999999861e-01,1.185568560000000105e+00,1.145564440000000017e+00,4.783981409999999990e-01,7.825595829999999753e-02
2.782273049999999870e+01,1.500000000000000000e+00,3.460022739999999986e-01,3.451933690000000277e-01,1.185046360000000076e+00,1.145004380000000044e+00,4.890889359999999741e-01,5.526723699999999684e-02
2.814273050000000254e+01,1.500000000000000000e+00,3.465123629999999899e-01,3.457152110000000222e-01,1.184534399999999987e+00,1.144453699999999907e+00,4.998334249999999979e-01,3.344365869999999658e-02
2.846273049999999927e+01,1.500000000000000000e+00,3.470147339999999914e-01,3.462290020000000079e-01,1.184043229999999891e+00,1.143913009999999897e+00,5.110039480000000411e-01,1.775146799999999941e-02
2.878273049999999955e+01,1.500000000000000000e+00,3.475096100000000243e-01,3.467349789999999987e-01,1.183575609999999889e+00,1.143382359999999931e+00,5.227464349999999538e-01,9.616957060000000390e-03
2.910273049999999984e+01,1.500000000000000000e+00,3.479972000000000065e-01,3.472333659999999877e-01,1.183125200000000099e+00,1.142861029999999944e+00,5.348659289999999622e-01,6.259324299999999806e-03
2.942273050000000012e+01,1.500000000000000000e+00,3.484777079999999971e-01,3.477243780000000006e-01,1.182685659999999972e+00,1.142348240000000015e+00,5.471425370000000399e-01,4.864901720000000193e-03
2.974273050000000040e+01,1.500000000000000000e+00,3.489513260000000061e-01,3.482082229999999834e-01,1.182253919999999958e+00,1.141843560000000091e+00,5.594685769999999669e-01,4.114667409999999900e-03
3.006273049999999714e+01,1.500000000000000000e+00,3.494182399999999911e-01,3.486850950000000005e-01,1.181828909999999899e+00,1.141346669999999897e+00,5.718092249999999765e-01,3.590084629999999982e-03
3.038273050000000453e+01,1.500000000000000000e+00,3.498786280000000248e-01,3.491551840000000073e-01,1.181410209999999905e+00,1.140857360000000043e+00,5.841542749999999451e-01,3.178947450000000046e-03
3.070273050000000126e+01,1.500000000000000000e+00,3.503326620000000169e-01,3.496186720000000192e-01,1.180997560000000002e+00,1.140375410000000089e+00,5.964995520000000440e-01,2.844144910000000106e-03
3.102273050000000154e+01,1.500000000000000000e+00,3.507805079999999909e-01,3.500757330000000001e-01,1.180590779999999951e+00,1.139900619999999920e+00,6.088422730000000449e-01,2.566443859999999882e-03
3.134273049999999827e+01,1.500000000000000000e+00,3.512223239999999747e-01,3.505265340000000007e-01,1.180189689999999958e+00,1.139432809999999963e+00,6.211801350000000221e-01,2.333029390000000095e-03
3.166273049999999856e+01,1.500000000000000000e+00,3.516582639999999982e-01,3.509712380000000187e-01,1.179794110000000007e+00,1.138971799999999979e+00,6.335110999999999937e-01,2.134673379999999909e-03
3.198273049999999884e+01,1.500000000000000000e+00,3.520884750000000118e-01,3.514099989999999729e-01,1.179403900000000061e+00,1.138517400000000013e+00,6.458333099999999938e-01,1.964512009999999816e-03
3.230273050000000268e+01,1.500000000000000000e+00,3.525131009999999954e-01,3.518429690000000054e-01,1.179018909999999920e+00,1.138069460000000088e+00,6.581450389999999873e-01,1.817325750000000099e-03
3.262273050000000296e+01,1.500000000000000000e+00,3.529322770000000165e-01,3.522702899999999859e-01,1.178638990000000053e+00,1.137627799999999967e+00,6.704446689999999931e-01,1.689073900000000010e-03
3.294273050000000325e+01,1.500000000000000000e+00,3.533461370000000046e-01,3.526921020000000073e-01,1.178264009999999917e+00,1.137192269999999894e+00,6.827306720000000384e-01,1.576580950000000059e-03
3.326273049999999643e+01,1.500000000000000000e+00,3.537548079999999762e-01,3.531085400000000263e-01,1.177893859999999959e+00,1.136762719999999893e+00,6.950015929999999731e-01,1.477318559999999965e-03
3.358273049999999671e+01,1.500000000000000000e+00,3.541584130000000052e-01,3.535197330000000027e-01,1.177528399999999920e+00,1.136339009999999927e+00,7.072560530000000512e-01,1.389250450000000013e-03
