time,VDD,Vbiasc,Vbias,Vsu,Vres
1.118782960000000021e-01,1.500000000000000000e+03,1.379919820000000072e+02,1.196092119999999994e+02,3.457195259999999735e+02,1.161472209999999983e+01
1.120000030000000008e-01,1.500000000000000000e+03,1.390041619999999796e+02,1.196373820000000023e+02,3.452699650000000133e+02,1.200810620000000029e+01
1.120000599999999985e-01,1.500000000000000000e+03,1.390040730000000053e+02,1.196364140000000020e+02,3.452695299999999747e+02,1.172639260000000050e+01
1.120131159999999959e-01,1.500000000000000000e+03,1.391155070000000080e+02,1.196162089999999978e+02,3.452154840000000036e+02,7.534826239999999231e+00
1.127097239999999972e-01,1.500000000000000000e+03,1.447438349999999900e+02,1.197126639999999895e+02,3.425680839999999989e+02,8.902754319999999666e+00
1.137097239999999981e-01,1.500000000000000000e+03,1.537055170000000146e+02,1.198740729999999957e+02,3.386938769999999863e+02,1.079565659999999916e+01
1.147097239999999990e-01,1.500000000000000000e+03,1.631931960000000004e+02,1.199751040000000017e+02,3.346592829999999594e+02,1.285796049999999902e+01
1.157097239999999999e-01,1.500000000000000000e+03,1.731764330000000029e+02,1.200213490000000007e+02,3.304680219999999622e+02,1.506550849999999997e+01
1.167097240000000008e-01,1.500000000000000000e+03,1.835719760000000065e+02,1.200199259999999981e+02,3.261243759999999838e+02,1.737823039999999963e+01
1.177097240000000017e-01,1.500000000000000000e+03,1.942188840000000027e+02,1.199800460000000015e+02,3.216328459999999723e+02,1.974539750000000282e+01
1.187097240000000026e-01,1.500000000000000000e+03,2.048577930000000151e+02,1.199137929999999983e+02,3.169979640000000245e+02,2.211349849999999861e+01
1.197097239999999896e-01,1.500000000000000000e+03,2.151299799999999891e+02,1.198361079999999959e+02,3.122234970000000089e+02,2.443510530000000003e+01
1.198750219999999977e-01,1.500000000000000000e+03,2.167629149999999925e+02,1.198222399999999936e+02,3.114207349999999792e+02,2.439806640000000115e+01
1.198758379999999985e-01,1.500000000000000000e+03,2.167713619999999821e+02,1.198226690000000048e+02,3.114168600000000424e+02,2.459620400000000018e+01
1.200000000000000094e-01,1.500000000000000000e+03,2.179791779999999903e+02,1.198130919999999975e+02,3.108099829999999884e+02,2.504878190000000160e+01
1.200000219999999979e-01,1.500000000000000000e+03,2.179793499999999824e+02,1.198130409999999983e+02,3.108098519999999780e+02,2.502956359999999947e+01
1.200032860000000007e-01,1.500000000000000000e+03,2.179953900000000147e+02,1.197830500000000029e+02,3.107904639999999858e+02,1.560284419999999983e+01
1.203919899999999904e-01,1.500000000000000000e+03,2.207471630000000005e+02,1.196957409999999982e+02,3.088452070000000163e+02,1.698386419999999930e+01
1.213919900000000052e-01,1.500000000000000000e+03,2.297040709999999990e+02,1.196453900000000061e+02,3.038538559999999507e+02,1.992333340000000064e+01
1.223919899999999922e-01,1.500000000000000000e+03,2.374689309999999978e+02,1.196217180000000013e+02,2.987189500000000066e+02,2.265156869999999856e+01
1.233919900000000069e-01,1.500000000000000000e+03,2.438044020000000103e+02,1.196312810000000013e+02,2.934291470000000004e+02,2.518247380000000035e+01
1.243919900000000078e-01,1.500000000000000000e+03,2.487078030000000126e+02,1.196743710000000078e+02,2.879726389999999583e+02,2.753269219999999962e+01
1.253919900000000087e-01,1.500000000000000000e+03,2.523426300000000140e+02,1.197451360000000022e+02,2.823375309999999558e+02,2.972038279999999943e+01
1.263919900000000096e-01,1.500000000000000000e+03,2.549583100000000115e+02,1.198349719999999934e+02,2.765152109999999652e+02,3.176302939999999708e+01
1.273919900000000105e-01,1.500000000000000000e+03,2.568085649999999873e+02,1.199354309999999941e+02,2.705025180000000091e+02,3.367646419999999807e+01
1.278750200000000059e-01,1.500000000000000000e+03,2.574926399999999944e+02,1.199847490000000079e+02,2.675305210000000216e+02,3.411663310000000138e+01
1.278752240000000095e-01,1.500000000000000000e+03,2.574931919999999650e+02,1.199852450000000061e+02,2.675293080000000145e+02,3.434482049999999731e+01
1.279274479999999992e-01,1.500000000000000000e+03,2.575605000000000473e+02,1.199904279999999943e+02,2.672049309999999878e+02,3.449556780000000344e+01
1.280000119999999963e-01,1.500000000000000000e+03,2.576491220000000339e+02,1.199985830000000107e+02,2.667533010000000218e+02,3.494209169999999887e+01
1.280008279999999832e-01,1.500000000000000000e+03,2.576369720000000143e+02,1.199752100000000041e+02,2.667470480000000066e+02,2.501740810000000081e+01
