t_analog,t_recon,analog_signal,spikes,recon
5.717689100655152211e-05,3.478414599999999912e-01,1.979130370488539681e+00,-2.500000000000000000e-01,1.856249999999999734e+00
5.747468731387731319e-05,3.489394200000000001e-01,1.980536615047755689e+00,-2.500000000000000000e-01,1.753124999999999822e+00
5.777248362120309750e-05,3.500302000000000135e-01,1.981938230711083548e+00,-2.500000000000000000e-01,1.649999999999999911e+00
5.807027992852888858e-05,3.511225800000000175e-01,1.983335197850037979e+00,-2.500000000000000000e-01,1.546875000000000000e+00
5.836807623585467966e-05,3.522149199999999869e-01,1.984727496901232957e+00,-2.500000000000000000e-01,1.443750000000000089e+00
5.866587254318047075e-05,3.533328399999999814e-01,1.986115108366655058e+00,-2.500000000000000000e-01,1.340625000000000178e+00
5.896366885050625505e-05,3.544488399999999872e-01,1.987498012813936787e+00,-2.500000000000000000e-01,1.237500000000000266e+00
5.926146515783204614e-05,3.555957200000000040e-01,1.988876190876628369e+00,-2.500000000000000000e-01,1.134375000000000355e+00
5.955926146515783722e-05,3.567794799999999822e-01,1.990249623254469302e+00,-2.500000000000000000e-01,1.031250000000000444e+00
5.985705777248362153e-05,3.580079400000000245e-01,1.991618290713658368e+00,-2.500000000000000000e-01,9.281250000000004219e-01
6.015485407980941261e-05,3.592735799999999813e-01,1.992982174087123859e+00,-2.500000000000000000e-01,8.250000000000003997e-01
6.045265038713520370e-05,3.606191400000000047e-01,1.994341254274790476e+00,-2.500000000000000000e-01,7.218750000000003775e-01
6.075044669446099478e-05,3.620513799999999782e-01,1.995695512243848002e+00,-2.500000000000000000e-01,6.187500000000003553e-01
6.104824300178678586e-05,3.636178999999999939e-01,1.997044929029017091e+00,-2.500000000000000000e-01,5.156250000000003331e-01
6.134603930911257017e-05,3.654136399999999840e-01,1.998389485732815940e+00,-2.500000000000000000e-01,4.125000000000003109e-01
6.164383561643835448e-05,3.675417400000000057e-01,1.999729163525823417e+00,-2.500000000000000000e-01,3.093750000000002887e-01
6.194163192376415234e-05,3.705181000000000169e-01,2.001063943646944399e+00,-2.500000000000000000e-01,2.062500000000002942e-01
6.223942823108993664e-05,3.823575399999999958e-01,2.002393807403670678e+00,2.500000000000000000e-01,3.093750000000002887e-01
6.253722453841572095e-05,3.845079200000000030e-01,2.003718736172344528e+00,2.500000000000000000e-01,4.125000000000003109e-01
6.283502084574151881e-05,3.863179199999999813e-01,2.005038711398418272e+00,2.500000000000000000e-01,5.156250000000003331e-01
6.313281715306730312e-05,3.879150000000000098e-01,2.006353714596714966e+00,2.500000000000000000e-01,6.187500000000003553e-01
6.343061346039310098e-05,3.893668000000000129e-01,2.007663727351686411e+00,2.500000000000000000e-01,7.218750000000003775e-01
