t_analog,t_recon,analog_signal,spikes,recon,th
8.350409836065573967e-05,5.002026200000000422e-01,2.083548178652095295e+00,2.500000000000000000e-01,1.675781249999996225e+00,2.062499999999999889e-01
8.401639344262295346e-05,5.024023800000000373e-01,2.085142620515077372e+00,2.500000000000000000e-01,1.882031249999996270e+00,2.062499999999999889e-01
8.452868852459016725e-05,5.046585599999999783e-01,2.086719028454508518e+00,2.500000000000000000e-01,2.088281249999996092e+00,2.062499999999999889e-01
8.504098360655738104e-05,5.070001600000000330e-01,2.088277337138198408e+00,2.500000000000000000e-01,2.294531249999995914e+00,2.062499999999999889e-01
8.555327868852459483e-05,5.095465200000000028e-01,2.089817481984057590e+00,2.500000000000000000e-01,2.500781249999995737e+00,2.062499999999999889e-01
8.606557377049180863e-05,5.123881999999999604e-01,2.091339399162773560e+00,2.500000000000000000e-01,2.707031249999995559e+00,2.062499999999999889e-01
8.657786885245902242e-05,5.159107400000000343e-01,2.092843025600455764e+00,2.500000000000000000e-01,2.913281249999995381e+00,2.062499999999999889e-01
8.709016393442623621e-05,5.216870000000000118e-01,2.094328298981249059e+00,2.500000000000000000e-01,3.119531249999995204e+00,2.062499999999999889e-01
8.760245901639345000e-05,5.319074599999999986e-01,2.095795157749918758e+00,-2.500000000000000000e-01,3.016406249999994849e+00,2.578124999999999861e-02
8.811475409836066379e-05,5.331349199999999566e-01,2.097243541114397480e+00,-2.500000000000000000e-01,2.964843749999994671e+00,5.156249999999999722e-02
8.862704918032787758e-05,5.351294199999999668e-01,2.098673389048309801e+00,-2.500000000000000000e-01,2.861718749999994760e+00,1.031249999999999944e-01
8.913934426229509138e-05,5.383806399999999659e-01,2.100084642293455595e+00,-2.500000000000000000e-01,2.655468749999994937e+00,2.062499999999999889e-01
8.965163934426230517e-05,5.411239599999999594e-01,2.101477242362267628e+00,-2.500000000000000000e-01,2.449218749999995115e+00,2.062499999999999889e-01
9.016393442622951896e-05,5.435839799999999666e-01,2.102851131540235841e+00,-2.500000000000000000e-01,2.242968749999995293e+00,2.062499999999999889e-01
9.067622950819673275e-05,5.458951399999999454e-01,2.104206252888298767e+00,-2.500000000000000000e-01,2.036718749999995470e+00,2.062499999999999889e-01
9.118852459016394654e-05,5.481194400000000133e-01,2.105542550245203870e+00,-2.500000000000000000e-01,1.830468749999995426e+00,2.062499999999999889e-01
9.170081967213116034e-05,5.503015399999999779e-01,2.106859968229833235e+00,-2.500000000000000000e-01,1.624218749999995381e+00,2.062499999999999889e-01
9.221311475409837413e-05,5.524912600000000396e-01,2.108158452243502179e+00,-2.500000000000000000e-01,1.417968749999995337e+00,2.062499999999999889e-01
9.272540983606558792e-05,5.547365199999999552e-01,2.109437948472218327e+00,-2.500000000000000000e-01,1.211718749999995293e+00,2.062499999999999889e-01
